name,coronaOccupancy,normalOccupancy,isolatedTeam
אוגוסטה ויקטוריה,,,4
אלישע,,,0
אסותא אשדוד,,,54
בני ציון,,84.75750732421875,54
ברזילי,,77.16666412353516,59
האיטלקי,,,0
הדסה הר הצופים,,86.11111450195312,34
הדסה עין כרם,,108.2321166992188,103
הכרמל,,73.41513061523438,51
הלל יפה,,74.95145416259766,43
המרכזי בעמק,,81.37931060791016,137
המשפחה הקדושה,,,0
הסקוטי,,110.638298034668,16
השרון ק. גולדה,,67.21991729736328,24
וולפסון,,69.98535919189453,34
זיו צפת,,77.23342895507812,37
יוספטל,,53.84615325927734,7
אל מקאסד,,,0
מאיר,,74.1645278930664,63
מעייני הישועה,,100,37
נהריה,,74.96542358398438,110
סוראסקי,,106.0631942749023,126
סורוקה,,75.67332458496094,61
סנט ג'וזף,,,10
סנט וינסנט,,54.47761154174805,10
פוריה,,65.63380432128906,36
קפלן,,89.53068542480469,78
רבין ק. בילינסון,,93.65269470214844,90
"רמב""ם",,86.59793853759766,120
שיבא,,93.35443115234375,118
שמיר (אסף הרופא),,63.6363639831543,110
שניידר,,,0
שערי צדק,,99.38574981689453,116
לניאדו,,87.74373626708984,19
