section,male,female,period,order_period
0-9,"{'amount': 9, 'percentage': 0.3}","{'amount': 7, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 13, 'percentage': 0.3}","{'amount': 9, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 2, 'percentage': 0.8}","{'amount': 1, 'percentage': 0.4}",חודש אחרון,5
0-9,"{'amount': 5, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.1}",3 חודשים,4
0-9,"{'amount': 6, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.1}",6 חודשים,3
10-19,"{'amount': 8, 'percentage': 0.8}","{'amount': 5, 'percentage': 0.5}",6 חודשים,3
10-19,"{'amount': 1, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.4}",חודש אחרון,5
10-19,"{'amount': 19, 'percentage': 0.4}","{'amount': 13, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 7, 'percentage': 0.8}","{'amount': 5, 'percentage': 0.6}",3 חודשים,4
10-19,"{'amount': 14, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 12, 'percentage': 1.3}","{'amount': 8, 'percentage': 0.9}",3 חודשים,4
20-29,"{'amount': 6, 'percentage': 2.4}","{'amount': 3, 'percentage': 1.2}",חודש אחרון,5
20-29,"{'amount': 36, 'percentage': 1.2}","{'amount': 30, 'percentage': 1}",שנה,2
20-29,"{'amount': 42, 'percentage': 0.9}","{'amount': 47, 'percentage': 1}",מתחילת קורונה,1
20-29,"{'amount': 13, 'percentage': 1.2}","{'amount': 9, 'percentage': 0.8}",6 חודשים,3
30-39,"{'amount': 77, 'percentage': 1.6}","{'amount': 83, 'percentage': 1.8}",מתחילת קורונה,1
30-39,"{'amount': 51, 'percentage': 1.6}","{'amount': 65, 'percentage': 2.1}",שנה,2
30-39,"{'amount': 8, 'percentage': 3.3}","{'amount': 7, 'percentage': 2.8}",חודש אחרון,5
30-39,"{'amount': 19, 'percentage': 2.1}","{'amount': 20, 'percentage': 2.2}",3 חודשים,4
30-39,"{'amount': 22, 'percentage': 2.1}","{'amount': 24, 'percentage': 2.3}",6 חודשים,3
40-49,"{'amount': 64, 'percentage': 6}","{'amount': 33, 'percentage': 3.1}",6 חודשים,3
40-49,"{'amount': 56, 'percentage': 6.3}","{'amount': 32, 'percentage': 3.6}",3 חודשים,4
40-49,"{'amount': 27, 'percentage': 11}","{'amount': 10, 'percentage': 4.1}",חודש אחרון,5
40-49,"{'amount': 158, 'percentage': 5}","{'amount': 93, 'percentage': 3}",שנה,2
40-49,"{'amount': 212, 'percentage': 4.5}","{'amount': 119, 'percentage': 2.5}",מתחילת קורונה,1
50-59,"{'amount': 92, 'percentage': 10.3}","{'amount': 48, 'percentage': 5.4}",3 חודשים,4
50-59,"{'amount': 40, 'percentage': 16.3}","{'amount': 19, 'percentage': 7.7}",חודש אחרון,5
50-59,"{'amount': 309, 'percentage': 9.9}","{'amount': 144, 'percentage': 4.6}",שנה,2
50-59,"{'amount': 446, 'percentage': 9.5}","{'amount': 200, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 103, 'percentage': 9.7}","{'amount': 60, 'percentage': 5.6}",6 חודשים,3
60-69,"{'amount': 144, 'percentage': 13.5}","{'amount': 115, 'percentage': 10.8}",6 חודשים,3
60-69,"{'amount': 121, 'percentage': 13.6}","{'amount': 100, 'percentage': 11.2}",3 חודשים,4
60-69,"{'amount': 34, 'percentage': 13.8}","{'amount': 26, 'percentage': 10.6}",חודש אחרון,5
60-69,"{'amount': 768, 'percentage': 16.3}","{'amount': 395, 'percentage': 8.4}",מתחילת קורונה,1
60-69,"{'amount': 481, 'percentage': 15.4}","{'amount': 284, 'percentage': 9.1}",שנה,2
70-79,"{'amount': 143, 'percentage': 13.5}","{'amount': 106, 'percentage': 10}",6 חודשים,3
70-79,"{'amount': 15, 'percentage': 6.1}","{'amount': 25, 'percentage': 10.2}",חודש אחרון,5
70-79,"{'amount': 818, 'percentage': 17.3}","{'amount': 445, 'percentage': 9.4}",מתחילת קורונה,1
70-79,"{'amount': 502, 'percentage': 16}","{'amount': 311, 'percentage': 9.9}",שנה,2
70-79,"{'amount': 113, 'percentage': 12.7}","{'amount': 88, 'percentage': 9.9}",3 חודשים,4
80-89,"{'amount': 479, 'percentage': 10.2}","{'amount': 345, 'percentage': 7.3}",מתחילת קורונה,1
80-89,"{'amount': 89, 'percentage': 8.4}","{'amount': 83, 'percentage': 7.8}",6 חודשים,3
80-89,"{'amount': 9, 'percentage': 3.7}","{'amount': 9, 'percentage': 3.7}",חודש אחרון,5
80-89,"{'amount': 73, 'percentage': 8.2}","{'amount': 64, 'percentage': 7.2}",3 חודשים,4
80-89,"{'amount': 281, 'percentage': 9}","{'amount': 237, 'percentage': 7.6}",שנה,2
90+,"{'amount': 97, 'percentage': 2.1}","{'amount': 91, 'percentage': 1.9}",מתחילת קורונה,1
90+,"{'amount': 18, 'percentage': 1.7}","{'amount': 17, 'percentage': 1.6}",6 חודשים,3
90+,"{'amount': 13, 'percentage': 1.5}","{'amount': 13, 'percentage': 1.5}",3 חודשים,4
90+,"{'amount': 1, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.8}",חודש אחרון,5
90+,"{'amount': 53, 'percentage': 1.7}","{'amount': 55, 'percentage': 1.8}",שנה,2
