period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,41309,16164,39.13
3_Month,0-9,215808,45527,21.1
6_Month,0-9,1186058,508916,42.91
1_Year,0-9,1490098,638313,42.84
All,0-9,1703191,746124,43.81
1_Month,10-19,47066,20530,43.62
3_Month,10-19,233863,45666,19.53
6_Month,10-19,1106260,549562,49.68
1_Year,10-19,1388733,646187,46.53
All,10-19,1622781,791717,48.79
1_Month,20-29,56885,21622,38.01
3_Month,20-29,310543,48805,15.72
6_Month,20-29,952263,391123,41.07
1_Year,20-29,1223644,456179,37.28
All,20-29,1459055,576985,39.55
1_Month,30-39,63442,26448,41.69
3_Month,30-39,309749,63806,20.6
6_Month,30-39,931967,426811,45.8
1_Year,30-39,1166552,493565,42.31
All,30-39,1359108,578843,42.59
1_Month,40-49,64925,27798,42.82
3_Month,40-49,298854,63832,21.36
6_Month,40-49,853704,396969,46.5
1_Year,40-49,1046215,448538,42.87
All,40-49,1206547,521840,43.25
1_Month,50-59,60567,26101,43.09
3_Month,50-59,267016,56736,21.25
6_Month,50-59,661989,275102,41.56
1_Year,50-59,812157,304231,37.46
All,50-59,941064,360514,38.31
1_Month,60-69,63537,27363,43.07
3_Month,60-69,244585,57327,23.44
6_Month,60-69,550257,202368,36.78
1_Year,60-69,670706,220808,32.92
All,60-69,772120,258641,33.5
1_Month,70-79,57899,24385,42.12
3_Month,70-79,174310,46685,26.78
6_Month,70-79,351875,122593,34.84
1_Year,70-79,428626,132604,30.94
All,70-79,493318,152774,30.97
1_Month,80-89,32854,9293,28.29
3_Month,80-89,70007,17733,25.33
6_Month,80-89,132157,46746,35.37
1_Year,80-89,165381,51459,31.12
All,80-89,207242,62334,30.08
1_Month,90+,10507,2049,19.5
3_Month,90+,17984,4052,22.53
6_Month,90+,30865,11521,37.33
1_Year,90+,39211,12756,32.53
All,90+,53577,16375,30.56
