age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized,Active_amount_boost_vaccinated,Serious_amount_boost_vaccinated,Active_boost_vaccinated_normalized,Serious_boost_vaccinated_normalized,boost_vaccinated_amount_cum
12-15,213953,78903,325232,371,1006,4769,173.4,1275,1466.3,0,0,1,0,0,0.3,,,,,
16-19,438926,35950,108669,3252,202,1845,740.9,561.9,1697.8,0,0,3,0,0,2.8,,,,,
20-29,999010,47544,253807,9813,330,3301,982.3,694.1,1300.6,1,0,7,0.1,0,2.8,,,,,
30-39,975656,38745,182625,9082,259,2969,930.9,668.5,1625.7,4,0,29,0.4,0,15.9,,,,,
40-49,933253,29655,135648,7459,147,2010,799.2,495.7,1481.8,15,2,61,1.6,6.7,45,,,,,
50-59,752515,18932,78519,4271,90,1114,567.6,475.4,1418.8,41,4,54,5.4,21.1,68.8,,,,,
60-69,668648,11038,61953,2179,54,757,325.9,489.2,1221.9,72,4,82,10.8,36.2,132.4,,,,,
70-79,466109,5988,18687,1245,24,414,267.1,400.8,2215.4,81,2,80,17.4,33.4,428.1,,,,,
80-89,209721,3960,11857,815,20,222,388.6,505.1,1872.3,74,4,43,35.3,101,362.7,,,,,
90+,46778,1795,2923,249,12,67,532.3,668.5,2292.2,27,1,20,57.7,55.7,684.2,,,,,
