name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,100.3164520263672,49
שניידר,,,0
שמיר,,65.5443344116211,44
וולפסון,,67.05709838867188,16
זיו צפת,,65.4178695678711,58
הלל יפה,,81.35922241210938,22
נהריה,,76.21023559570312,45
ברזילי,,71.66666412353516,38
פוריה,,67.32394409179688,26
סוראסקי,,102.5619125366211,65
בני ציון,,84.98844909667969,40
רבין ק. בילינסון,,94.01197814941406,70
סורוקה,,70.02606201171875,79
מאיר,,78.02056884765625,44
קפלן,,91.15523529052734,12
"רמב""ם",,95.97937774658203,111
הכרמל,,77.91410827636719,36
השרון ק. גולדה,,54.77178573608398,19
הדסה עין כרם,,110.3174591064453,138
הסקוטי,,102.2556381225586,13
המשפחה הקדושה,,,0
סנט ג'וזף,,,13
שערי צדק,,,93
אל מקאסד,,,0
לניאדו,,77.99443054199219,14
אוגוסטה ויקטוריה,,,10
מעייני הישועה,,99.36102294921875,8
אסותא אשדוד,,,16
סנט וינסנט,,56.7164192199707,4
יוספטל,,55.38461685180664,5
המרכזי בעמק,,72.06896209716797,81
