instituteDesc,occupancy,gOccupancy,occupancyDate
שמואל הרופא,5.6,73.6,2022-02-11T00:00:00.000Z
פוריה,35.9,67.9,2022-02-11T00:00:00.000Z
סורוקה,54.7,66.1,2022-02-11T00:00:00.000Z
הכרמל,54.7,75.5,2022-02-11T00:00:00.000Z
יוספטל,56.3,38.5,2022-02-11T00:00:00.000Z
וולפסון,57.4,76.6,2022-02-11T00:00:00.000Z
רבין ק. השרון,57.9,71,2022-02-11T00:00:00.000Z
בני ציון,59.5,74.1,2022-02-11T00:00:00.000Z
הדסה הר הצופים,61.1,80.9,2022-02-11T00:00:00.000Z
לניאדו,62.8,77.4,2022-02-11T00:00:00.000Z
מאיר,68.5,77.6,2022-02-11T00:00:00.000Z
שמיר,70.7,70.5,2022-02-11T00:00:00.000Z
שערי צדק,71.3,101.5,2022-02-11T00:00:00.000Z
ברזילי,71.9,72,2022-02-11T00:00:00.000Z
זיו צפת,71.9,70.6,2022-02-11T00:00:00.000Z
קפלן,75.3,81.4,2022-02-11T00:00:00.000Z
"רמב""ם",76.8,85.4,2022-02-11T00:00:00.000Z
שיבא,78.7,103,2022-02-11T00:00:00.000Z
המרכזי בעמק,78.7,71.5,2022-02-11T00:00:00.000Z
נהריה,80.5,79.3,2022-02-11T00:00:00.000Z
רבין ק. בילינסון,81.9,88.2,2022-02-11T00:00:00.000Z
אסותא אשדוד,98.3,97.3,2022-02-11T00:00:00.000Z
הדסה עין כרם,108.7,94.2,2022-02-11T00:00:00.000Z
