dailyDoublingRate,date,numberOfDoublingDays
0,2020-02-12T00:00:00.000Z,
0,2020-02-13T00:00:00.000Z,
0,2020-02-14T00:00:00.000Z,
0,2020-02-15T00:00:00.000Z,
0,2020-02-16T00:00:00.000Z,
0,2020-02-17T00:00:00.000Z,
0,2020-02-18T00:00:00.000Z,
0,2020-02-19T00:00:00.000Z,
0,2020-02-20T00:00:00.000Z,
0,2020-02-21T00:00:00.000Z,
0,2020-02-22T00:00:00.000Z,
0,2020-02-23T00:00:00.000Z,
100,2020-02-24T00:00:00.000Z,1
0,2020-02-25T00:00:00.000Z,
0,2020-02-26T00:00:00.000Z,
50,2020-02-27T00:00:00.000Z,1.709511291351455
66.66666666666667,2020-02-28T00:00:00.000Z,1.356915448856724
0,2020-02-29T00:00:00.000Z,
20,2020-03-01T00:00:00.000Z,3.801784016923927
66.66666666666667,2020-03-02T00:00:00.000Z,1.356915448856724
30,2020-03-03T00:00:00.000Z,2.641926795811142
0,2020-03-04T00:00:00.000Z,
7.692307692307687,2020-03-05T00:00:00.000Z,9.353206684999492
7.14285714285714,2020-03-06T00:00:00.000Z,10.04664924971331
26.66666666666668,2020-03-07T00:00:00.000Z,2.932233865905457
42.10526315789474,2020-03-08T00:00:00.000Z,1.972542256293411
-3.703703703703698,2020-03-09T00:00:00.000Z,-18.36622036975889
115.3846153846154,2020-03-10T00:00:00.000Z,0.9034115679880246
35.71428571428572,2020-03-11T00:00:00.000Z,2.269773516446259
25,2020-03-12T00:00:00.000Z,3.10628371950539
33.68421052631578,2020-03-13T00:00:00.000Z,2.387608815800854
19.685039370078748,2020-03-14T00:00:00.000Z,3.857387349303444
19.07894736842104,2020-03-15T00:00:00.000Z,3.969539758265282
38.12154696132597,2020-03-16T00:00:00.000Z,2.146206462477057
24.4,2020-03-17T00:00:00.000Z,3.174739381318491
31.5112540192926,2020-03-18T00:00:00.000Z,2.530452331228643
27.87286063569681,2020-03-19T00:00:00.000Z,2.819203599452029
25.23900573613767,2020-03-20T00:00:00.000Z,3.079918082347435
27.63358778625955,2020-03-21T00:00:00.000Z,2.840844238502132
25.837320574162682,2020-03-22T00:00:00.000Z,3.016046660203342
26.520912547528532,2020-03-23T00:00:00.000Z,2.946585477513968
24.7182569496619,2020-03-24T00:00:00.000Z,3.138016193821446
18.49397590361446,2020-03-25T00:00:00.000Z,4.084738454030404
19.5729537366548,2020-03-26T00:00:00.000Z,3.877605664102906
11.30952380952381,2020-03-27T00:00:00.000Z,6.469266190525112
10.31321619556913,2020-03-28T00:00:00.000Z,7.061865368503379
9.626038781163437,2020-03-29T00:00:00.000Z,7.542017716715665
6.127605811749848,2020-03-30T00:00:00.000Z,11.65501470746519
9.375,2020-03-31T00:00:00.000Z,7.734968007636167
7.401360544217694,2020-04-01T00:00:00.000Z,9.707581504318865
5.0418039016974845,2020-04-02T00:00:00.000Z,14.09173208838041
3.9315002411963293,2020-04-03T00:00:00.000Z,17.97494874501969
-1.229983754931541,2020-04-04T00:00:00.000Z,-56.00688514398855
1.198308270676707,2020-04-05T00:00:00.000Z,58.18969731002338
-2.205711632226626,2020-04-06T00:00:00.000Z,-31.07724237091475
-8.547008547008527,2020-04-07T00:00:00.000Z,-7.758088333376922
-9.319833852544146,2020-04-08T00:00:00.000Z,-7.085110433644572
-10.76438591468651,2020-04-09T00:00:00.000Z,-6.086112857437221
-7.63554700032082,2020-04-10T00:00:00.000Z,-8.726737110338943
-2.848211184439042,2020-04-11T00:00:00.000Z,-23.98798580696164
-1.036825169824807,2020-04-12T00:00:00.000Z,-66.50567487439876
-0.46965317919075433,2020-04-13T00:00:00.000Z,-147.2401849338434
0.7622504537205144,2020-04-14T00:00:00.000Z,91.28044365490517
-0.9726224783861648,2020-04-15T00:00:00.000Z,-70.9186608605419
-1.70971262277192,2020-04-16T00:00:00.000Z,-40.19416646273066
-2.257586972612879,2020-04-17T00:00:00.000Z,-30.35511862085094
-2.044680045437342,2020-04-18T00:00:00.000Z,-33.55226467610461
-10.70738306919211,2020-04-19T00:00:00.000Z,-6.1204303973952
-6.01731601731601,2020-04-20T00:00:00.000Z,-11.16905047503499
-5.343159834177813,2020-04-21T00:00:00.000Z,-12.62286273371538
-4.136253041362514,2020-04-22T00:00:00.000Z,-16.40883889518014
-1.015228426395953,2020-04-23T00:00:00.000Z,-67.92783427991364
-2.564102564102555,2020-04-24T00:00:00.000Z,-26.68466606550006
-6.947368421052635,2020-04-25T00:00:00.000Z,-9.626386109749934
-10.97285067873304,2020-04-26T00:00:00.000Z,-5.9636432257367
-10.927573062261759,2020-04-27T00:00:00.000Z,-5.989846318116411
-8.773181169757482,2020-04-28T00:00:00.000Z,-7.548874140348756
-11.2587959343237,2020-04-29T00:00:00.000Z,-5.803023335235843
-11.80616740088105,2020-04-30T00:00:00.000Z,-5.517231536804165
-13.086913086913091,2020-05-01T00:00:00.000Z,-4.941818290578298
-11.7241379310345,2020-05-02T00:00:00.000Z,-5.558362837125065
-7.2916666666666625,2020-05-03T00:00:00.000Z,-9.15507201741447
-10.39325842696629,2020-05-04T00:00:00.000Z,-6.316288771596535
-20.06269592476488,2020-05-05T00:00:00.000Z,-3.095408121747717
-3.3333333333333335,2020-05-06T00:00:00.000Z,-20.44588363361445
-16.43002028397567,2020-05-07T00:00:00.000Z,-3.861849155747538
-20.38834951456311,2020-05-08T00:00:00.000Z,-3.039989333899476
-11.58536585365853,2020-05-09T00:00:00.000Z,-5.629270394679018
0.6896551724137945,2020-05-10T00:00:00.000Z,100.8525177787126
-4.7945205479452015,2020-05-11T00:00:00.000Z,-14.10765827448179
-3.237410071942448,2020-05-12T00:00:00.000Z,-21.06207174721242
-9.665427509293679,2020-05-13T00:00:00.000Z,-6.818963258158995
-16.04938271604939,2020-05-14T00:00:00.000Z,-3.96216667093797
-10.29411764705882,2020-05-15T00:00:00.000Z,-6.380582460875227
-7.650273224043714,2020-05-16T00:00:00.000Z,-8.709253604457993
-8.284023668639051,2020-05-17T00:00:00.000Z,-8.015708800844283
