age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,207359,75608,335121,319,807,4367,153.8,1067.3,1303.1,0,0,0,0,0,0
16-19,436787,34225,112533,2866,161,1617,656.2,470.4,1436.9,0,0,1,0,0,0.9
20-29,997498,46278,256585,9245,300,3067,926.8,648.3,1195.3,1,0,10,0.1,0,3.9
30-39,974201,37660,185165,8607,225,2735,883.5,597.5,1477.1,3,0,29,0.3,0,15.7
40-49,932092,28997,137467,7280,128,1863,781,441.4,1355.2,20,2,57,2.1,6.9,41.5
50-59,751718,18727,79521,4526,91,1082,602.1,485.9,1360.6,40,1,48,5.3,5.3,60.4
60-69,668175,10981,62483,2310,61,713,345.7,555.5,1141.1,77,4,91,11.5,36.4,145.6
70-79,465842,5980,18962,1309,23,409,281,384.6,2156.9,91,6,77,19.5,100.3,406.1
80-89,209614,3951,11973,859,19,213,409.8,480.9,1779,83,4,59,39.6,101.2,492.8
90+,46750,1795,2951,271,11,74,579.7,612.8,2507.6,27,0,13,57.8,0,440.5
