instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,45.6,68,2022-03-13T00:00:00.000Z
פוריה,69.2,76.3,2022-03-13T00:00:00.000Z
סורוקה,69.4,71.9,2022-03-13T00:00:00.000Z
הכרמל,69.8,76.1,2022-03-13T00:00:00.000Z
יוספטל,75,67.7,2022-03-13T00:00:00.000Z
וולפסון,79.5,75,2022-03-13T00:00:00.000Z
איכילוב,79.7,114.9,2022-03-13T00:00:00.000Z
לניאדו,82.1,106.7,2022-03-13T00:00:00.000Z
קפלן,84.7,86,2022-03-13T00:00:00.000Z
בני ציון,86,88.7,2022-03-13T00:00:00.000Z
הדסה הר הצופים,86.1,83,2022-03-13T00:00:00.000Z
המרכזי בעמק,87.1,67.3,2022-03-13T00:00:00.000Z
ברזילי,88,83.3,2022-03-13T00:00:00.000Z
מאיר,89.5,87,2022-03-13T00:00:00.000Z
שמיר,90.3,76.1,2022-03-13T00:00:00.000Z
"רמב""ם",93.9,87.4,2022-03-13T00:00:00.000Z
שמואל הרופא,94.4,83.9,2022-03-13T00:00:00.000Z
שיבא,100,103.4,2022-03-13T00:00:00.000Z
נהריה,102.6,83.6,2022-03-13T00:00:00.000Z
הלל יפה,104.1,89.5,2022-03-13T00:00:00.000Z
זיו צפת,106.3,64.6,2022-03-13T00:00:00.000Z
מ.גריאטרי פרדס חנה,,42.3,2022-03-13T00:00:00.000Z
רבין ק. בילינסון,118.9,99.6,2022-03-13T00:00:00.000Z
הדסה עין כרם,122.3,93,2022-03-13T00:00:00.000Z
אסותא אשדוד,130.5,104.8,2022-03-13T00:00:00.000Z
