period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,175521,60228,34.31
3_Month,0-9,1138132,451987,39.71
6_Month,0-9,1305323,503999,38.61
1_Year,0-9,1489368,583443,39.17
All,0-9,1670651,688502,41.21
1_Month,10-19,165140,57159,34.61
3_Month,10-19,1038709,492262,47.39
6_Month,10-19,1187978,528480,44.49
1_Year,10-19,1371171,590513,43.07
All,10-19,1581169,733590,46.4
1_Month,20-29,176241,37429,21.24
3_Month,20-29,805683,320991,39.84
6_Month,20-29,984745,340073,34.53
1_Year,20-29,1168876,387661,33.17
All,20-29,1380062,509571,36.92
1_Month,30-39,178129,46066,25.86
3_Month,30-39,789341,342479,43.39
6_Month,30-39,942305,364387,38.67
1_Year,30-39,1102509,410940,37.27
All,30-39,1273989,497584,39.06
1_Month,40-49,174657,43700,25.02
3_Month,40-49,724764,313278,43.22
6_Month,40-49,849744,328443,38.65
1_Year,40-49,981696,366123,37.29
All,40-49,1128332,440747,39.06
1_Month,50-59,143541,29647,20.65
3_Month,50-59,528261,202310,38.3
6_Month,50-59,634811,209428,32.99
1_Year,50-59,737475,232142,31.48
All,50-59,859427,289879,33.73
1_Month,60-69,123556,20076,16.25
3_Month,60-69,423645,132881,31.37
6_Month,60-69,511197,137124,26.82
1_Year,60-69,595332,151908,25.52
All,60-69,692405,190434,27.5
1_Month,70-79,82039,11320,13.8
3_Month,70-79,256293,68226,26.62
6_Month,70-79,311497,70319,22.57
1_Year,70-79,367721,78577,21.37
All,70-79,430537,98915,22.97
1_Month,80-89,37046,4330,11.69
3_Month,80-89,99784,26540,26.6
6_Month,80-89,119320,27546,23.09
1_Year,80-89,146034,31560,21.61
All,80-89,184811,42394,22.94
1_Month,90+,10154,1074,10.58
3_Month,90+,24519,7028,28.66
6_Month,90+,28923,7299,25.24
1_Year,90+,35890,8358,23.29
All,90+,48588,11989,24.67
