instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,43,62.2,2022-03-16T00:00:00.000Z
סורוקה,62.4,78.2,2022-03-16T00:00:00.000Z
יוספטל,62.5,63.1,2022-03-16T00:00:00.000Z
הכרמל,67,78.9,2022-03-16T00:00:00.000Z
וולפסון,71.7,74.2,2022-03-16T00:00:00.000Z
פוריה,71.8,70.7,2022-03-16T00:00:00.000Z
איכילוב,73.3,107.3,2022-03-16T00:00:00.000Z
המרכזי בעמק,74.8,69.7,2022-03-16T00:00:00.000Z
שמיר,82.6,69.9,2022-03-16T00:00:00.000Z
הדסה הר הצופים,83.3,92,2022-03-16T00:00:00.000Z
בני ציון,86.8,88,2022-03-16T00:00:00.000Z
מאיר,86.5,87.7,2022-03-16T00:00:00.000Z
לניאדו,87.2,88.9,2022-03-16T00:00:00.000Z
"רמב""ם",92.9,84.9,2022-03-16T00:00:00.000Z
ברזילי,92.2,87.7,2022-03-16T00:00:00.000Z
נהריה,94.2,85.1,2022-03-16T00:00:00.000Z
זיו צפת,95.3,73.2,2022-03-16T00:00:00.000Z
הלל יפה,97.9,83.9,2022-03-16T00:00:00.000Z
קפלן,102.7,93.8,2022-03-16T00:00:00.000Z
רבין ק. בילינסון,126,99.9,2022-03-16T00:00:00.000Z
הדסה עין כרם,126.2,97.9,2022-03-16T00:00:00.000Z
