section,female,male,period
0-9,"{'amount': 361715, 'percentage': 7.9}","{'amount': 440868, 'percentage': 9.6}",מתחילת קורונה
0-9,"{'amount': 294250, 'percentage': 8.1}","{'amount': 362154, 'percentage': 10}",שנה
0-9,"{'amount': 59406, 'percentage': 5.3}","{'amount': 73469, 'percentage': 6.6}",6 חודשים
0-9,"{'amount': 19735, 'percentage': 4}","{'amount': 23153, 'percentage': 4.7}",3 חודשים
0-9,"{'amount': 4179, 'percentage': 3.6}","{'amount': 5289, 'percentage': 4.6}",חודש אחרון
10-19,"{'amount': 427950, 'percentage': 9.4}","{'amount': 438526, 'percentage': 9.6}",מתחילת קורונה
10-19,"{'amount': 333890, 'percentage': 9.2}","{'amount': 333203, 'percentage': 9.2}",שנה
10-19,"{'amount': 64521, 'percentage': 5.8}","{'amount': 63953, 'percentage': 5.7}",6 חודשים
10-19,"{'amount': 21320, 'percentage': 4.3}","{'amount': 20620, 'percentage': 4.1}",3 חודשים
10-19,"{'amount': 3662, 'percentage': 3.2}","{'amount': 3529, 'percentage': 3.1}",חודש אחרון
20-29,"{'amount': 379305, 'percentage': 8.3}","{'amount': 267535, 'percentage': 5.9}",מתחילת קורונה
20-29,"{'amount': 7320, 'percentage': 6.4}","{'amount': 5409, 'percentage': 4.7}",חודש אחרון
20-29,"{'amount': 288942, 'percentage': 7.9}","{'amount': 191355, 'percentage': 5.3}",שנה
20-29,"{'amount': 79109, 'percentage': 7.1}","{'amount': 54303, 'percentage': 4.9}",6 חודשים
20-29,"{'amount': 30891, 'percentage': 6.2}","{'amount': 22257, 'percentage': 4.5}",3 חודשים
30-39,"{'amount': 386093, 'percentage': 8.5}","{'amount': 267450, 'percentage': 5.9}",מתחילת קורונה
30-39,"{'amount': 316341, 'percentage': 8.7}","{'amount': 209246, 'percentage': 5.7}",שנה
30-39,"{'amount': 94151, 'percentage': 8.4}","{'amount': 67594, 'percentage': 6}",6 חודשים
30-39,"{'amount': 38332, 'percentage': 7.7}","{'amount': 27937, 'percentage': 5.6}",3 חודשים
30-39,"{'amount': 8695, 'percentage': 7.6}","{'amount': 6531, 'percentage': 5.7}",חודש אחרון
40-49,"{'amount': 346780, 'percentage': 7.6}","{'amount': 241964, 'percentage': 5.3}",מתחילת קורונה
40-49,"{'amount': 285884, 'percentage': 7.9}","{'amount': 192414, 'percentage': 5.3}",שנה
40-49,"{'amount': 93480, 'percentage': 8.4}","{'amount': 63994, 'percentage': 5.7}",6 חודשים
40-49,"{'amount': 39700, 'percentage': 8}","{'amount': 27150, 'percentage': 5.5}",3 חודשים
40-49,"{'amount': 8565, 'percentage': 7.5}","{'amount': 6124, 'percentage': 5.3}",חודש אחרון
50-59,"{'amount': 243003, 'percentage': 5.3}","{'amount': 169464, 'percentage': 3.7}",מתחילת קורונה
50-59,"{'amount': 199605, 'percentage': 5.5}","{'amount': 132993, 'percentage': 3.7}",שנה
50-59,"{'amount': 80918, 'percentage': 7.2}","{'amount': 51604, 'percentage': 4.6}",6 חודשים
50-59,"{'amount': 38824, 'percentage': 7.8}","{'amount': 24596, 'percentage': 4.9}",3 חודשים
50-59,"{'amount': 8670, 'percentage': 7.6}","{'amount': 5626, 'percentage': 4.9}",חודש אחרון
60-69,"{'amount': 175748, 'percentage': 3.8}","{'amount': 130554, 'percentage': 2.9}",מתחילת קורונה
60-69,"{'amount': 148324, 'percentage': 4.1}","{'amount': 104916, 'percentage': 2.9}",שנה
60-69,"{'amount': 74302, 'percentage': 6.6}","{'amount': 50555, 'percentage': 4.5}",6 חודשים
60-69,"{'amount': 40588, 'percentage': 8.2}","{'amount': 28092, 'percentage': 5.6}",3 חודשים
60-69,"{'amount': 9416, 'percentage': 8.2}","{'amount': 6879, 'percentage': 6}",חודש אחרון
70-79,"{'amount': 104430, 'percentage': 2.3}","{'amount': 85865, 'percentage': 1.9}",מתחילת קורונה
70-79,"{'amount': 90210, 'percentage': 2.5}","{'amount': 72687, 'percentage': 2}",שנה
70-79,"{'amount': 54789, 'percentage': 4.9}","{'amount': 43421, 'percentage': 3.9}",6 חודשים
70-79,"{'amount': 34223, 'percentage': 6.9}","{'amount': 27024, 'percentage': 5.4}",3 חודשים
70-79,"{'amount': 8346, 'percentage': 7.3}","{'amount': 6592, 'percentage': 5.8}",חודש אחרון
80-89,"{'amount': 46516, 'percentage': 1}","{'amount': 33688, 'percentage': 0.7}",מתחילת קורונה
80-89,"{'amount': 38266, 'percentage': 1.1}","{'amount': 27810, 'percentage': 0.8}",שנה
80-89,"{'amount': 23082, 'percentage': 2.1}","{'amount': 17071, 'percentage': 1.5}",6 חודשים
80-89,"{'amount': 15303, 'percentage': 3.1}","{'amount': 11173, 'percentage': 2.2}",3 חודשים
80-89,"{'amount': 4528, 'percentage': 4}","{'amount': 3087, 'percentage': 2.7}",חודש אחרון
90+,"{'amount': 13984, 'percentage': 0.3}","{'amount': 7181, 'percentage': 0.2}",מתחילת קורונה
90+,"{'amount': 10884, 'percentage': 0.3}","{'amount': 5726, 'percentage': 0.2}",שנה
90+,"{'amount': 6328, 'percentage': 0.6}","{'amount': 3328, 'percentage': 0.3}",6 חודשים
90+,"{'amount': 4304, 'percentage': 0.9}","{'amount': 2167, 'percentage': 0.4}",3 חודשים
90+,"{'amount': 1381, 'percentage': 1.2}","{'amount': 679, 'percentage': 0.6}",חודש אחרון
