name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Bet Dagan,8.5,אדום,41.1,25,-30,35,אדום,2022-07-19T00:00:00.000Z,74.94,70.36,55.55,48.0
Bet Shemesh,8.8,אדום,16.7,34,-15,251,אדום,2022-07-19T00:00:00.000Z,42.78,34.74,22.35,19.0
Qiryat Eqron,9.9,אדום,68.9,31,-39,94,אדום,2022-07-19T00:00:00.000Z,69.63,65.54,48.13,85.2
Abu Ghosh,7.9,אדום,59.8,22,-33,78,אדום,2022-07-19T00:00:00.000Z,מעל 90%,מעל 90%,81.30,99.2
Abu Sinan,9.1,אדום,94.4,32,2,187,אדום,2022-07-19T00:00:00.000Z,76.02,66.90,41.27,130.7
Iksal,8,כתום,20.6,24,3,40,אדום,2022-07-19T00:00:00.000Z,67.43,58.57,32.55,26.6
Beit Jann,9.5,אדום,40.3,29,48,42,אדום,2022-07-19T00:00:00.000Z,72.82,60.72,42.32,34.5
Mughar,10,אדום,67.9,44,62,181,אדום,2022-07-19T00:00:00.000Z,72.36,64.41,41.09,77.8
Bu'eine-Nujeidat,8.9,אדום,22.0,20,10,18,אדום,2022-07-19T00:00:00.000Z,72.64,62.63,36.07,18.0
Bi'ne,7.1,כתום,30.9,21,52,32,כתום,2022-07-19T00:00:00.000Z,61.37,51.54,28.84,38.0
Julis,10,אדום,79.4,49,18,56,אדום,2022-07-19T00:00:00.000Z,76.64,68.97,49.89,85.6
Jish(Gush Halav),9.7,אדום,51.3,30,-38,16,אדום,2022-07-19T00:00:00.000Z,76.06,69.74,50.93,51.3
Daburiyya,7.6,אדום,30.0,17,6,45,אדום,2022-07-19T00:00:00.000Z,68.74,59.28,37.53,42.1
Deir Al-Asad,9.8,אדום,30.7,26,-15,44,אדום,2022-07-19T00:00:00.000Z,70.64,59.18,37.10,34.6
Deir Hanna,10,אדום,70.8,37,48,91,אדום,2022-07-19T00:00:00.000Z,73.28,62.15,38.01,87.0
Daliyat Al-Karmel,9.5,אדום,48.7,48,93,81,אדום,2022-07-19T00:00:00.000Z,64.53,54.85,38.26,45.3
Hurfeish,10,אדום,69.3,44,136,37,אדום,2022-07-19T00:00:00.000Z,80.91,68.91,48.17,57.0
Tur'an,9.8,אדום,28.4,32,41,55,אדום,2022-07-19T00:00:00.000Z,70.58,61.27,35.06,38.1
Qiryat Shemona,9.6,אדום,57.0,29,-49,186,אדום,2022-07-19T00:00:00.000Z,77.71,73.30,57.41,82.8
Jerusalem,8.1,אדום,23.2,25,-25,3076,אדום,2022-07-19T00:00:00.000Z,61.72,53.13,34.28,32.3
Qedumim,7.8,אדום,24.0,24,-35,קטן מ-15,אדום,2022-07-19T00:00:00.000Z,73.82,68.46,50.10,
Elqana,10,אדום,85.9,39,25,38,אדום,2022-07-19T00:00:00.000Z,81.41,76.64,60.97,96.0
Teqoa,5.8,צהוב,11.9,18,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,62.70,56.59,37.27,
Kokhav Hashahar,4.7,כתום,25.7,66,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,62.37,54.49,37.59,
Ari'el,10,אדום,67.8,33,-26,141,אדום,2022-07-19T00:00:00.000Z,71.33,68.15,53.80,68.8
Bet El,9.3,אדום,20.2,51,-29,קטן מ-15,אדום,2022-07-19T00:00:00.000Z,67.79,61.31,44.50,
Mizpe Yeriho,4.9,כתום,15.6,44,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,59.77,53.33,36.34,
Allon Shevut,6,צהוב,25.7,22,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,מעל 90%,84.57,66.18,
Qiryat Arba,10,אדום,28.6,42,23,קטן מ-15,אדום,2022-07-19T00:00:00.000Z,62.39,55.35,39.75,
Ma'ale Adummim,10,אדום,48.7,36,-23,178,אדום,2022-07-19T00:00:00.000Z,77.61,72.08,55.44,47.1
Ofra,5.1,כתום,16.2,50,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,78.27,72.13,53.12,
El'azar,7.1,צהוב,28.6,46,-23,קטן מ-15,כתום,2022-07-19T00:00:00.000Z,86.89,81.33,59.84,
Kefar Adummim,10,כתום,38.1,54,-5,17,אדום,2022-07-19T00:00:00.000Z,74.94,70.50,50.48,35.9
Qarne Shomeron,10,אדום,60.1,38,-17,60,אדום,2022-07-19T00:00:00.000Z,70.83,65.92,49.05,63.2
Shilo,6,כתום,17.4,40,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,55.27,48.72,29.55,
Sha'ab,8.4,צהוב,31.9,24,35,28,אדום,2022-07-19T00:00:00.000Z,71.56,62.27,36.86,38.9
Jisr Az-Zarqa,7.8,כתום,25.8,16,34,59,אדום,2022-07-19T00:00:00.000Z,73.27,62.26,40.70,39.0
Reine,8.8,אדום,27.2,27,40,67,אדום,2022-07-19T00:00:00.000Z,54.21,46.85,25.80,35.0
Rame,9.9,אדום,46.4,33,-18,35,אדום,2022-07-19T00:00:00.000Z,81.33,72.23,49.29,45.1
Azor,9.5,אדום,69.5,25,-19,129,אדום,2022-07-19T00:00:00.000Z,70.06,65.75,50.51,97.5
Yad Binyamin,7.3,צהוב,25.9,43,10,קטן מ-15,כתום,2022-07-19T00:00:00.000Z,59.21,53.19,36.22,
Savyon,9.4,אדום,69.2,28,-26,30,אדום,2022-07-19T00:00:00.000Z,מעל 90%,מעל 90%,83.81,74.2
Jaljulye,9.5,אדום,31.1,29,6,46,אדום,2022-07-19T00:00:00.000Z,60.88,52.44,29.54,44.7
Jatt,10,אדום,39.2,39,84,49,אדום,2022-07-19T00:00:00.000Z,64.99,57.52,36.72,40.0
Kafar Bara,6.4,אדום,23.9,32,-41,16,כתום,2022-07-19T00:00:00.000Z,70.19,58.02,33.34,42.5
Bet Arye,9.4,אדום,58.0,43,-6,30,אדום,2022-07-19T00:00:00.000Z,73.46,70.01,54.10,56.2
Pesagot,4.9,כתום,23.8,50,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,74.61,65.36,45.50,
Immanu'el,4.5,צהוב,4.8,15,0,קטן מ-15,ירוק,2022-07-19T00:00:00.000Z,29.08,23.22,12.41,
Mevo Horon,6,כתום,29.4,47,0,קטן מ-15,צהוב,2022-07-19T00:00:00.000Z,59.12,51.36,32.63,
Berakha,4.5,כתום,3.5,16,0,קטן מ-15,ירוק,2022-07-19T00:00:00.000Z,62.50,53.98,32.38,
Sha'are Tiqwa,10,כתום,57.9,43,-28,45,אדום,2022-07-19T00:00:00.000Z,74.31,70.24,54.84,74.4
Newe Daniyyel,4.5,צהוב,17.2,25,0,קטן מ-15,ירוק,2022-07-19T00:00:00.000Z,83.02,76.34,57.50,
Modi'in Illit,5.2,כתום,4.1,20,0,49,צהוב,2022-07-19T00:00:00.000Z,42.28,25.53,12.96,6.2
Kefar Tavor,9.8,אדום,63.6,31,-47,40,אדום,2022-07-19T00:00:00.000Z,87.78,83.53,66.37,90.9
Atlit,9.6,אדום,49.4,35,-18,62,אדום,2022-07-19T00:00:00.000Z,73.92,70.42,53.69,63.8
Ashdod,9.8,אדום,68.2,31,-25,1692,אדום,2022-07-19T00:00:00.000Z,70.95,64.25,47.54,74.8
Mizpe Ramon,10,אדום,73.3,37,-26,31,אדום,2022-07-19T00:00:00.000Z,68.45,64.19,48.64,59.8
Ramat Yishay,10,אדום,103.9,31,-7,107,אדום,2022-07-19T00:00:00.000Z,84.40,81.91,67.00,135.5
Giv'at Brenner,9.9,אדום,71.3,33,-36,24,אדום,2022-07-19T00:00:00.000Z,79.36,77.19,62.21,90.1
Tel Mond,8.4,אדום,64.6,24,-36,117,אדום,2022-07-19T00:00:00.000Z,מעל 90%,87.59,69.79,86.9
Gan Yavne,10,אדום,87.5,41,-14,198,אדום,2022-07-19T00:00:00.000Z,78.93,74.50,57.29,82.9
Kefar Yona,9.2,אדום,61.2,28,-28,184,אדום,2022-07-19T00:00:00.000Z,75.26,71.62,55.45,70.4
Pardesiyya,9.3,אדום,76.7,26,-31,72,אדום,2022-07-19T00:00:00.000Z,מעל 90%,89.60,72.21,108.3
Even Yehuda,8.2,אדום,72.7,18,-28,149,אדום,2022-07-19T00:00:00.000Z,מעל 90%,88.87,70.40,106.2
Qadima-Zoran,10,אדום,61.2,37,-38,192,אדום,2022-07-19T00:00:00.000Z,79.00,75.84,60.05,84.5
Ganne Tiqwa,9.7,אדום,74.4,23,-32,215,אדום,2022-07-19T00:00:00.000Z,84.49,80.48,64.33,100.0
