period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,128349,36210,28.21
3_Month,0-9,965423,424450,43.97
6_Month,0-9,1234322,501307,40.61
1_Year,0-9,1485498,616331,41.49
All,0-9,1684988,724251,42.98
1_Month,10-19,136449,34579,25.34
3_Month,10-19,819100,421779,51.49
6_Month,10-19,1145607,537021,46.88
1_Year,10-19,1378224,621790,45.12
All,10-19,1599966,767113,47.95
1_Month,20-29,172730,40938,23.7
3_Month,20-29,696077,286389,41.14
6_Month,20-29,972659,366799,37.71
1_Year,20-29,1191263,427407,35.88
All,20-29,1413676,549596,38.88
1_Month,30-39,175114,46320,26.45
3_Month,30-39,714699,326782,45.72
6_Month,30-39,945797,395200,41.78
1_Year,30-39,1133399,456625,40.29
All,30-39,1313366,543402,41.37
1_Month,40-49,173404,43746,25.23
3_Month,40-49,660540,299619,45.36
6_Month,40-49,861653,362504,42.07
1_Year,40-49,1013092,409923,40.46
All,40-49,1164892,484568,41.6
1_Month,50-59,154377,34611,22.42
3_Month,50-59,499863,201035,40.22
6_Month,50-59,655365,240043,36.63
1_Year,50-59,771836,267198,34.62
All,50-59,895701,324778,36.26
1_Month,60-69,137218,28740,20.94
3_Month,60-69,405932,135578,33.4
6_Month,60-69,533544,163889,30.72
1_Year,60-69,628053,181090,28.83
All,60-69,726341,219727,30.25
1_Month,70-79,94516,18845,19.94
3_Month,70-79,252243,73345,29.08
6_Month,70-79,331548,88435,26.67
1_Year,70-79,393004,97840,24.9
All,70-79,457031,118344,25.89
1_Month,80-89,40158,6757,16.83
3_Month,80-89,97611,28777,29.48
6_Month,80-89,125535,33835,26.95
1_Year,80-89,153458,38348,24.99
All,80-89,194376,49366,25.4
1_Month,90+,10746,1468,13.66
3_Month,90+,23754,7371,31.03
6_Month,90+,29814,8611,28.88
1_Year,90+,36955,9804,26.53
All,90+,50620,13482,26.63
