instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,35.1,31.5,2022-04-16T00:00:00.000Z
סורוקה,41.9,56.1,2022-04-16T00:00:00.000Z
מאיר,57.5,71.7,2022-04-16T00:00:00.000Z
וולפסון,63.5,53.4,2022-04-16T00:00:00.000Z
הכרמל,63.2,58.7,2022-04-16T00:00:00.000Z
בני ציון,65.3,59.8,2022-04-16T00:00:00.000Z
איכילוב,66.7,79.2,2022-04-16T00:00:00.000Z
זיו צפת,67.2,57.3,2022-04-16T00:00:00.000Z
קפלן,68,82.9,2022-04-16T00:00:00.000Z
יוספטל,68.8,47.7,2022-04-16T00:00:00.000Z
המרכזי בעמק,69,58,2022-04-16T00:00:00.000Z
לניאדו,69.2,65.7,2022-04-16T00:00:00.000Z
ברזילי,74,62.4,2022-04-16T00:00:00.000Z
שמיר,75.3,58.6,2022-04-16T00:00:00.000Z
פוריה,76.9,59.4,2022-04-16T00:00:00.000Z
"רמב""ם",77.8,67.4,2022-04-16T00:00:00.000Z
רבין ק. בילינסון,80.6,72.7,2022-04-16T00:00:00.000Z
הדסה עין כרם,86.4,61.4,2022-04-16T00:00:00.000Z
הדסה הר הצופים,86.1,67.7,2022-04-16T00:00:00.000Z
הלל יפה,88.4,65.8,2022-04-16T00:00:00.000Z
נהריה,90,68.9,2022-04-16T00:00:00.000Z
שיבא,100,95.4,2022-04-16T00:00:00.000Z
