period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,39760,12939,32.54
3_Month,0-9,223175,48214,21.6
6_Month,0-9,1190631,507543,42.63
1_Year,0-9,1490187,635653,42.66
All,0-9,1702379,743469,43.67
1_Month,10-19,44246,16992,38.4
3_Month,10-19,241196,47995,19.9
6_Month,10-19,1112591,548536,49.3
1_Year,10-19,1389027,643213,46.31
All,10-19,1622048,788697,48.62
1_Month,20-29,50714,17062,33.64
3_Month,20-29,323044,51933,16.08
6_Month,20-29,955854,387644,40.55
1_Year,20-29,1223802,451826,36.92
All,20-29,1457791,572941,39.3
1_Month,30-39,56121,21001,37.42
3_Month,30-39,320647,65616,20.46
6_Month,30-39,934696,422372,45.19
1_Year,30-39,1166880,488285,41.85
All,30-39,1358004,573844,42.26
1_Month,40-49,57634,22391,38.85
3_Month,40-49,309077,65205,21.1
6_Month,40-49,855716,392336,45.85
1_Year,40-49,1046170,443093,42.35
All,40-49,1205375,516652,42.86
1_Month,50-59,54277,21163,38.99
3_Month,50-59,275597,57233,20.77
6_Month,50-59,662823,270302,40.78
1_Year,50-59,811695,298924,36.83
All,50-59,939776,355416,37.82
1_Month,60-69,57353,22466,39.17
3_Month,60-69,250484,56185,22.43
6_Month,60-69,550059,197022,35.82
1_Year,60-69,669617,215148,32.13
All,60-69,770612,253123,32.85
1_Month,70-79,52405,20302,38.74
3_Month,70-79,176279,44583,25.29
6_Month,70-79,350580,117849,33.62
1_Year,70-79,426897,127728,29.92
All,70-79,491461,147932,30.1
1_Month,80-89,30003,7541,25.13
3_Month,80-89,69849,16639,23.82
6_Month,80-89,131440,44811,34.09
1_Year,80-89,164440,49469,30.08
All,80-89,206309,60361,29.26
1_Month,90+,9622,1635,16.99
3_Month,90+,17848,3774,21.15
6_Month,90+,30677,11061,36.06
1_Year,90+,38970,12290,31.54
All,90+,53320,15922,29.86
