averageInfected,begin_date,end_date,isCurrentWeek
2055,2022-05-01T00:00:00.000Z,2022-05-07T00:00:00.000Z,False
2183,2022-05-08T00:00:00.000Z,2022-05-14T00:00:00.000Z,False
2112,2022-05-15T00:00:00.000Z,2022-05-21T00:00:00.000Z,False
2041,2022-05-22T00:00:00.000Z,2022-05-24T00:00:00.000Z,True
