name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Julis,6.7,אדום,16.8,14,-60,קטן מ-15,כתום,2022-08-01T00:00:00.000Z,76.64,68.97,49.90,
Jish(Gush Halav),6,כתום,19.2,16,-16,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,76.06,69.74,50.93,
Daburiyya,5.5,אדום,14.0,8,-50,35,צהוב,2022-08-01T00:00:00.000Z,68.74,59.28,37.53,32.8
Deir Al-Asad,6.5,כתום,12.6,14,-46,35,כתום,2022-08-01T00:00:00.000Z,70.64,59.20,37.10,27.5
Deir Hanna,7.8,אדום,39.2,21,-25,70,אדום,2022-08-01T00:00:00.000Z,73.28,62.15,38.01,66.9
Daliyat Al-Karmel,5.5,אדום,11.2,22,-50,31,צהוב,2022-08-01T00:00:00.000Z,64.53,54.86,38.26,17.4
Hurfeish,5.8,אדום,16.9,23,-26,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,80.91,68.91,48.17,
Tur'an,5.7,אדום,8.3,15,-40,25,צהוב,2022-08-01T00:00:00.000Z,70.58,61.27,35.06,17.3
Yafi,7.5,כתום,17.1,21,17,50,אדום,2022-08-01T00:00:00.000Z,63.75,54.48,31.94,25.9
Yirka,9.6,אדום,27.1,24,-16,47,אדום,2022-08-01T00:00:00.000Z,65.40,54.44,34.47,27.1
Kabul,5.4,אדום,10.5,18,-50,29,צהוב,2022-08-01T00:00:00.000Z,65.53,55.24,34.31,20.4
Kaokab Abu Al-Hija,5.1,כתום,8.2,9,0,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,71.73,62.46,38.17,
Kafar Yasif,6.7,אדום,24.4,17,-50,39,כתום,2022-08-01T00:00:00.000Z,74.17,65.83,41.94,38.1
Kafar Kama,7.8,אדום,44.2,51,0,קטן מ-15,אדום,2022-08-01T00:00:00.000Z,74.06,70.35,55.45,
Kafar Kanna,4,ירוק,10.3,6,41,35,ירוק,2022-08-01T00:00:00.000Z,69.29,60.07,35.04,15.1
Kafar Manda,3.7,כתום,6.8,3,-54,36,ירוק,2022-08-01T00:00:00.000Z,61.90,52.14,26.14,17.5
Ilut,7.8,כתום,17.6,28,36,19,אדום,2022-08-01T00:00:00.000Z,60.17,52.23,26.74,22.3
Fureidis,6.4,אדום,11.2,27,-21,20,כתום,2022-08-01T00:00:00.000Z,69.63,60.67,37.91,14.9
Sha'ab,7.6,אדום,16.7,16,-40,16,אדום,2022-08-01T00:00:00.000Z,71.56,62.27,36.86,22.2
Jisr Az-Zarqa,4.2,צהוב,11.9,9,-18,32,ירוק,2022-08-01T00:00:00.000Z,73.27,62.26,40.71,21.2
Reine,5.2,כתום,7.8,12,-40,33,צהוב,2022-08-01T00:00:00.000Z,54.21,46.87,25.80,17.2
Rame,8.4,כתום,29.6,29,35,28,אדום,2022-08-01T00:00:00.000Z,81.33,72.24,49.29,36.1
Azor,7.4,אדום,37.8,17,-24,95,כתום,2022-08-01T00:00:00.000Z,70.07,65.77,50.53,71.8
Yad Binyamin,4.9,צהוב,7.1,15,0,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,59.21,53.19,36.24,
Savyon,7.4,אדום,49.4,30,33,22,כתום,2022-08-01T00:00:00.000Z,מעל 90%,מעל 90%,83.83,54.4
Jaljulye,7,אדום,15.5,13,-27,38,כתום,2022-08-01T00:00:00.000Z,60.88,52.44,29.54,36.9
Jatt,8.1,אדום,27.8,34,25,46,אדום,2022-08-01T00:00:00.000Z,64.99,57.52,36.72,37.5
Kafar Bara,6,כתום,18.6,25,0,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,70.19,58.02,33.37,
Kafar Qasem,7.5,כתום,16.5,21,-4,52,כתום,2022-08-01T00:00:00.000Z,66.71,54.89,30.51,21.5
Muqeible,5.3,צהוב,9.7,36,0,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,73.06,62.46,34.63,
Ar'ara,6.7,אדום,13.7,21,-23,47,כתום,2022-08-01T00:00:00.000Z,51.81,45.21,25.21,18.4
Qalansawe,5.5,כתום,12.8,16,-21,48,צהוב,2022-08-01T00:00:00.000Z,63.15,53.10,28.18,20.5
Meiser,5.1,צהוב,9.7,21,0,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,67.67,62.03,38.16,
Ibtin,3.7,צהוב,6.9,1,0,קטן מ-15,ירוק,2022-08-01T00:00:00.000Z,63.49,56.74,32.07,
Qiryat Mal'akhi,7.5,אדום,24.6,24,5,125,אדום,2022-08-01T00:00:00.000Z,60.11,52.75,33.96,51.3
Bet Hashmonay,5.8,צהוב,41.1,16,0,קטן מ-15,צהוב,2022-08-01T00:00:00.000Z,מעל 90%,מעל 90%,72.18,
Tel Sheva,7.1,צהוב,9.3,17,-4,26,כתום,2022-08-01T00:00:00.000Z,32.40,27.73,12.35,12.1
Kuseife,3.7,צהוב,4.5,4,-41,23,ירוק,2022-08-01T00:00:00.000Z,24.23,20.18,8.27,10.3
Laqye,3.5,צהוב,4.8,5,-37,קטן מ-15,ירוק,2022-08-01T00:00:00.000Z,31.34,25.98,9.98,
