period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,45009,21522,47.82
3_Month,0-9,152807,45723,29.92
6_Month,0-9,555547,242520,43.65
1_Year,0-9,1474354,649561,44.06
All,0-9,1708792,762885,44.64
1_Month,10-19,40366,15822,39.2
3_Month,10-19,155260,44405,28.6
6_Month,10-19,544263,225233,41.38
1_Year,10-19,1365343,654004,47.9
All,10-19,1626551,804042,49.43
1_Month,20-29,57462,24473,42.59
3_Month,20-29,219763,53797,24.48
6_Month,20-29,612383,183624,29.99
1_Year,20-29,1207004,474813,39.34
All,20-29,1466465,597369,40.74
1_Month,30-39,68068,30390,44.65
3_Month,30-39,229010,67448,29.45
6_Month,30-39,617693,228411,36.98
1_Year,30-39,1152427,516994,44.86
All,30-39,1366329,604462,44.24
1_Month,40-49,65761,29326,44.59
3_Month,40-49,217726,68136,31.29
6_Month,40-49,580839,219048,37.71
1_Year,40-49,1033670,472041,45.67
All,40-49,1213749,547635,45.12
1_Month,50-59,60525,27857,46.03
3_Month,50-59,197483,63849,32.33
6_Month,50-59,486735,170225,34.97
1_Year,50-59,805241,329617,40.93
All,50-59,948670,386962,40.79
1_Month,60-69,65528,30560,46.64
3_Month,60-69,193201,68755,35.59
6_Month,60-69,428482,146946,34.29
1_Year,60-69,668937,250312,37.42
All,60-69,781487,289474,37.04
1_Month,70-79,61177,26994,44.12
3_Month,70-79,152689,60617,39.7
6_Month,70-79,296143,107670,36.36
1_Year,70-79,433684,159964,36.88
All,70-79,504872,181068,35.86
1_Month,80-89,37894,12769,33.7
3_Month,80-89,69377,25528,36.8
6_Month,80-89,115382,43507,37.71
1_Year,80-89,169356,64250,37.94
All,80-89,213885,75420,35.26
1_Month,90+,11802,3292,27.89
3_Month,90+,18686,6110,32.7
6_Month,90+,27629,10467,37.88
1_Year,90+,40252,15930,39.58
All,90+,55475,19607,35.34
