section,female,male,period,order_period
0-9,"{'amount': 1, 'percentage': 0.4}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 32, 'percentage': 0.2}","{'amount': 42, 'percentage': 0.3}",שנה,2
0-9,"{'amount': 19, 'percentage': 0.4}","{'amount': 26, 'percentage': 0.5}",6 חודשים,3
0-9,"{'amount': 13, 'percentage': 0.4}","{'amount': 16, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 38, 'percentage': 0.2}","{'amount': 52, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 56, 'percentage': 0.3}","{'amount': 46, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.8}",חודש אחרון,5
10-19,"{'amount': 12, 'percentage': 0.4}","{'amount': 12, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 19, 'percentage': 0.4}","{'amount': 16, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 42, 'percentage': 0.3}","{'amount': 33, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 69, 'percentage': 1.3}","{'amount': 49, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 54, 'percentage': 1.6}","{'amount': 38, 'percentage': 1.1}",3 חודשים,4
20-29,"{'amount': 6, 'percentage': 2.4}","{'amount': 4, 'percentage': 1.6}",חודש אחרון,5
20-29,"{'amount': 229, 'percentage': 1}","{'amount': 180, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 171, 'percentage': 1.1}","{'amount': 143, 'percentage': 1}",שנה,2
30-39,"{'amount': 385, 'percentage': 2.6}","{'amount': 397, 'percentage': 2.6}",שנה,2
30-39,"{'amount': 154, 'percentage': 2.8}","{'amount': 163, 'percentage': 3}",6 חודשים,3
30-39,"{'amount': 108, 'percentage': 3.2}","{'amount': 126, 'percentage': 3.7}",3 חודשים,4
30-39,"{'amount': 9, 'percentage': 3.7}","{'amount': 7, 'percentage': 2.9}",חודש אחרון,5
30-39,"{'amount': 496, 'percentage': 2.2}","{'amount': 544, 'percentage': 2.4}",מתחילת קורונה,1
40-49,"{'amount': 620, 'percentage': 4.1}","{'amount': 897, 'percentage': 6}",שנה,2
40-49,"{'amount': 233, 'percentage': 4.3}","{'amount': 322, 'percentage': 6}",6 חודשים,3
40-49,"{'amount': 177, 'percentage': 5.2}","{'amount': 239, 'percentage': 7.1}",3 חודשים,4
40-49,"{'amount': 7, 'percentage': 2.9}","{'amount': 17, 'percentage': 6.9}",חודש אחרון,5
40-49,"{'amount': 811, 'percentage': 3.7}","{'amount': 1218, 'percentage': 5.5}",מתחילת קורונה,1
50-59,"{'amount': 318, 'percentage': 5.9}","{'amount': 432, 'percentage': 8}",6 חודשים,3
50-59,"{'amount': 215, 'percentage': 6.4}","{'amount': 307, 'percentage': 9.1}",3 חודשים,4
50-59,"{'amount': 916, 'percentage': 6.1}","{'amount': 1325, 'percentage': 8.8}",שנה,2
50-59,"{'amount': 1308, 'percentage': 5.9}","{'amount': 1940, 'percentage': 8.7}",מתחילת קורונה,1
50-59,"{'amount': 17, 'percentage': 6.9}","{'amount': 19, 'percentage': 7.8}",חודש אחרון,5
60-69,"{'amount': 294, 'percentage': 8.7}","{'amount': 368, 'percentage': 10.9}",3 חודשים,4
60-69,"{'amount': 445, 'percentage': 8.2}","{'amount': 585, 'percentage': 10.8}",6 חודשים,3
60-69,"{'amount': 23, 'percentage': 9.4}","{'amount': 27, 'percentage': 11}",חודש אחרון,5
60-69,"{'amount': 1780, 'percentage': 8}","{'amount': 2688, 'percentage': 12.1}",מתחילת קורונה,1
60-69,"{'amount': 1209, 'percentage': 8}","{'amount': 1662, 'percentage': 11.1}",שנה,2
70-79,"{'amount': 36, 'percentage': 14.7}","{'amount': 18, 'percentage': 7.3}",חודש אחרון,5
70-79,"{'amount': 317, 'percentage': 9.4}","{'amount': 316, 'percentage': 9.4}",3 חודשים,4
70-79,"{'amount': 507, 'percentage': 9.4}","{'amount': 613, 'percentage': 11.3}",6 חודשים,3
70-79,"{'amount': 1430, 'percentage': 9.5}","{'amount': 1778, 'percentage': 11.8}",שנה,2
70-79,"{'amount': 2074, 'percentage': 9.3}","{'amount': 2843, 'percentage': 12.8}",מתחילת קורונה,1
80-89,"{'amount': 288, 'percentage': 8.5}","{'amount': 262, 'percentage': 7.8}",3 חודשים,4
80-89,"{'amount': 1460, 'percentage': 9.7}","{'amount': 1394, 'percentage': 9.3}",שנה,2
80-89,"{'amount': 524, 'percentage': 9.7}","{'amount': 532, 'percentage': 9.8}",6 חודשים,3
80-89,"{'amount': 17, 'percentage': 6.9}","{'amount': 20, 'percentage': 8.2}",חודש אחרון,5
80-89,"{'amount': 2139, 'percentage': 9.6}","{'amount': 2104, 'percentage': 9.5}",מתחילת קורונה,1
90+,"{'amount': 1022, 'percentage': 4.6}","{'amount': 650, 'percentage': 2.9}",מתחילת קורונה,1
90+,"{'amount': 8, 'percentage': 3.3}","{'amount': 7, 'percentage': 2.9}",חודש אחרון,5
90+,"{'amount': 143, 'percentage': 4.2}","{'amount': 74, 'percentage': 2.2}",3 חודשים,4
90+,"{'amount': 252, 'percentage': 4.7}","{'amount': 132, 'percentage': 2.4}",6 חודשים,3
90+,"{'amount': 653, 'percentage': 4.3}","{'amount': 438, 'percentage': 2.9}",שנה,2
