period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,128067,36108,28.19
3_Month,0-9,965298,424349,43.96
6_Month,0-9,1234254,501207,40.61
1_Year,0-9,1485447,616234,41.48
All,0-9,1684948,724155,42.98
1_Month,10-19,136111,34525,25.37
3_Month,10-19,818916,421727,51.5
6_Month,10-19,1145507,536970,46.88
1_Year,10-19,1378160,621739,45.11
All,10-19,1599912,767064,47.94
1_Month,20-29,172184,40861,23.73
3_Month,20-29,695733,286312,41.15
6_Month,20-29,972440,366723,37.71
1_Year,20-29,1191114,427331,35.88
All,20-29,1413556,549524,38.88
1_Month,30-39,174735,46232,26.46
3_Month,30-39,714462,326693,45.73
6_Month,30-39,945634,395111,41.78
1_Year,30-39,1133282,456537,40.28
All,30-39,1313266,543316,41.37
1_Month,40-49,173009,43645,25.23
3_Month,40-49,660313,299520,45.36
6_Month,40-49,861505,362405,42.07
1_Year,40-49,1012977,409824,40.46
All,40-49,1164798,484471,41.59
1_Month,50-59,154070,34537,22.42
3_Month,50-59,499649,200961,40.22
6_Month,50-59,655213,239969,36.62
1_Year,50-59,771711,267124,34.61
All,50-59,895585,324706,36.26
1_Month,60-69,136985,28679,20.94
3_Month,60-69,405762,135517,33.4
6_Month,60-69,533417,163828,30.71
1_Year,60-69,627941,181029,28.83
All,60-69,726239,219667,30.25
1_Month,70-79,94373,18807,19.93
3_Month,70-79,252144,73307,29.07
6_Month,70-79,331472,88397,26.67
1_Year,70-79,392943,97802,24.89
All,70-79,456974,118306,25.89
1_Month,80-89,40123,6744,16.81
3_Month,80-89,97583,28764,29.48
6_Month,80-89,125511,33822,26.95
1_Year,80-89,153438,38335,24.98
All,80-89,194360,49353,25.39
1_Month,90+,10738,1466,13.65
3_Month,90+,23749,7369,31.03
6_Month,90+,29809,8609,28.88
1_Year,90+,36950,9802,26.53
All,90+,50616,13480,26.63
