instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,35.1,31.5,2022-04-16T00:00:00.000Z
סורוקה,41.9,56.1,2022-04-16T00:00:00.000Z
מאיר,57.5,71.7,2022-04-16T00:00:00.000Z
וולפסון,60.7,53.4,2022-04-16T00:00:00.000Z
בני ציון,60.3,57.5,2022-04-16T00:00:00.000Z
הכרמל,61.3,59.5,2022-04-16T00:00:00.000Z
לניאדו,61.5,57.1,2022-04-16T00:00:00.000Z
המרכזי בעמק,62.6,55.9,2022-04-16T00:00:00.000Z
זיו צפת,68.8,55.9,2022-04-16T00:00:00.000Z
קפלן,68,81.6,2022-04-16T00:00:00.000Z
יוספטל,68.8,49.2,2022-04-16T00:00:00.000Z
ברזילי,69.3,61.3,2022-04-16T00:00:00.000Z
שמיר,72.6,57.8,2022-04-16T00:00:00.000Z
פוריה,76.9,59.4,2022-04-16T00:00:00.000Z
"רמב""ם",77.8,68.1,2022-04-16T00:00:00.000Z
רבין ק. בילינסון,80.6,72.7,2022-04-16T00:00:00.000Z
הדסה הר הצופים,86.1,69.1,2022-04-16T00:00:00.000Z
הלל יפה,87.7,68.9,2022-04-16T00:00:00.000Z
נהריה,87.9,69,2022-04-16T00:00:00.000Z
הדסה עין כרם,87.4,61.6,2022-04-16T00:00:00.000Z
שיבא,100,95.4,2022-04-16T00:00:00.000Z
