gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,417127,10.5,7,0.1,30,0.5,113,0.4
זכר,0-9,חודש אחרון,20003,6.9,0,0,1,0.4,15,1.9
זכר,0-9,שנה,348630,11,5,0.1,22,0.9,81,0.7
זכר,0-9,3 חודשים,246428,11,2,0.1,15,1.2,51,0.9
זכר,0-9,6 חודשים,281095,10.5,4,0.2,18,1.2,57,0.8
נקבה,0-9,מתחילת קורונה,332737,8.3,5,0,15,0.3,70,0.2
נקבה,0-9,3 חודשים,179882,8.1,2,0.1,8,0.7,31,0.5
נקבה,0-9,שנה,275262,8.7,2,0,9,0.4,53,0.4
נקבה,0-9,חודש אחרון,15594,5.4,0,0,2,0.7,2,0.3
נקבה,0-9,6 חודשים,214319,8,2,0.1,8,0.5,38,0.6
זכר,10-19,3 חודשים,224156,10,4,0.2,9,0.7,21,0.4
זכר,10-19,מתחילת קורונה,418351,10.5,7,0.1,23,0.4,78,0.3
זכר,10-19,חודש אחרון,17093,5.9,0,0,0,0,1,0.1
זכר,10-19,שנה,321838,10.2,5,0.1,14,0.6,43,0.4
זכר,10-19,6 חודשים,271810,10.1,4,0.2,10,0.7,27,0.4
נקבה,10-19,מתחילת קורונה,397710,10,7,0.1,23,0.4,77,0.3
נקבה,10-19,חודש אחרון,17206,6,0,0,1,0.4,3,0.4
נקבה,10-19,שנה,313669,9.9,4,0.1,15,0.6,35,0.3
נקבה,10-19,3 חודשים,205848,9.2,2,0.1,9,0.7,12,0.2
נקבה,10-19,6 חודשים,263068,9.8,2,0.1,10,0.7,17,0.2
זכר,20-29,שנה,172527,5.5,5,0.1,22,0.9,90,0.8
זכר,20-29,מתחילת קורונה,243565,6.1,24,0.2,53,0.9,238,0.8
זכר,20-29,3 חודשים,113733,5.1,2,0.1,10,0.8,29,0.5
זכר,20-29,חודש אחרון,16709,5.8,1,0.6,3,1.1,1,0.1
זכר,20-29,6 חודשים,143660,5.4,3,0.1,15,1,42,0.6
נקבה,20-29,מתחילת קורונה,341301,8.6,22,0.2,58,1,271,1
נקבה,20-29,חודש אחרון,23877,8.3,0,0,1,0.4,2,0.3
נקבה,20-29,3 חודשים,177977,8,5,0.2,10,0.8,18,0.3
נקבה,20-29,שנה,258086,8.2,9,0.2,21,0.9,99,0.8
נקבה,20-29,6 חודשים,221333,8.3,7,0.3,14,0.9,36,0.5
זכר,30-39,מתחילת קורונה,235643,5.9,52,0.5,102,1.7,628,2.2
זכר,30-39,3 חודשים,129820,5.8,8,0.4,23,1.9,56,0.9
זכר,30-39,שנה,182827,5.8,24,0.6,47,2,216,1.8
זכר,30-39,חודש אחרון,19631,6.8,2,1.1,10,3.6,12,1.5
זכר,30-39,6 חודשים,154864,5.8,13,0.5,33,2.2,77,1.1
נקבה,30-39,מתחילת קורונה,339391,8.5,36,0.3,101,1.7,584,2
