gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,חודש אחרון,937,2.8,0,0,1,0.7,2,0.4,75,3.3
זכר,0-9,6 חודשים,49821,5.5,0,0,7,0.9,25,0.6,731,4.1
זכר,0-9,מתחילת קורונה,441447,9.6,7,0.1,34,0.5,124,0.4,3273,3.7
זכר,0-9,3 חודשים,21328,4.7,0,0,5,1.1,8,0.3,478,4
זכר,0-9,שנה,334837,9.7,4,0.1,24,1,79,0.6,2163,5.1
נקבה,0-9,מתחילת קורונה,362613,7.9,5,0,17,0.3,78,0.2,2647,3
נקבה,0-9,חודש אחרון,1062,3.2,0,0,0,0,1,0.2,58,2.5
נקבה,0-9,3 חודשים,18638,4.1,0,0,1,0.2,9,0.3,374,3.1
נקבה,0-9,6 חודשים,41779,4.6,0,0,3,0.4,12,0.3,584,3.3
נקבה,0-9,שנה,270886,7.8,2,0,10,0.4,52,0.4,1735,4.1
זכר,10-19,חודש אחרון,912,2.8,0,0,1,0.7,1,0.2,13,0.6
זכר,10-19,מתחילת קורונה,439072,9.6,7,0.1,25,0.4,82,0.3,1080,1.2
זכר,10-19,6 חודשים,43213,4.7,0,0,1,0.1,5,0.1,155,0.9
זכר,10-19,שנה,312652,9,5,0.1,16,0.7,40,0.3,554,1.3
זכר,10-19,3 חודשים,18229,4,0,0,1,0.2,4,0.1,106,0.9
נקבה,10-19,מתחילת קורונה,428973,9.3,8,0.1,23,0.4,81,0.3,1217,1.4
נקבה,10-19,חודש אחרון,1154,3.5,0,0,0,0,0,0,16,0.7
נקבה,10-19,6 חודשים,45116,4.9,1,0.1,2,0.2,8,0.2,185,1.1
נקבה,10-19,3 חודשים,19214,4.2,0,0,0,0,4,0.1,120,1
נקבה,10-19,שנה,314078,9.1,4,0.1,13,0.5,29,0.2,611,1.4
זכר,20-29,שנה,178210,5.2,6,0.1,22,0.9,79,0.6,635,1.5
זכר,20-29,מתחילת קורונה,268509,5.8,25,0.2,57,0.9,250,0.8,1669,1.9
זכר,20-29,3 חודשים,20608,4.5,1,0.1,3,0.7,7,0.2,139,1.2
זכר,20-29,חודש אחרון,1338,4,0,0,1,0.7,2,0.4,25,1.1
זכר,20-29,6 חודשים,43959,4.8,2,0.2,7,0.9,13,0.3,218,1.2
נקבה,20-29,מתחילת קורונה,380714,8.3,22,0.2,62,1,284,0.9,5408,6.2
נקבה,20-29,חודש אחרון,1969,5.9,0,0,1,0.7,5,1,63,2.7
נקבה,20-29,3 חודשים,28391,6.2,0,0,6,1.3,14,0.5,493,4.1
נקבה,20-29,6 חודשים,63085,6.9,0,0,6,0.7,16,0.4,759,4.3
נקבה,20-29,שנה,272852,7.9,7,0.2,22,0.9,91,0.7,2654,6.3
זכר,30-39,מתחילת קורונה,268575,5.8,53,0.5,106,1.6,642,2,2353,2.7
זכר,30-39,חודש אחרון,1568,4.7,0,0,1,0.7,4,0.8,28,1.2
זכר,30-39,3 חודשים,25616,5.6,0,0,3,0.7,14,0.5,180,1.5
זכר,30-39,6 חודשים,54710,6,4,0.3,16,1.9,28,0.7,293,1.7
זכר,30-39,שנה,197480,5.7,19,0.4,44,1.8,173,1.4,870,2.1
נקבה,30-39,חודש אחרון,2351,7.1,0,0,3,2,1,0.2,64,2.8
נקבה,30-39,6 חודשים,75028,8.2,4,0.3,17,2.1,23,0.6,808,4.6
נקבה,30-39,מתחילת קורונה,387762,8.4,40,0.3,113,1.7,599,1.9,5478,6.2
נקבה,30-39,3 חודשים,35278,7.7,2,0.3,10,2.2,8,0.3,503,4.2
נקבה,30-39,שנה,301033,8.7,14,0.3,38,1.6,160,1.3,2696,6.4
זכר,40-49,שנה,183511,5.3,50,1.2,96,4,358,2.9,1170,2.8
זכר,40-49,מתחילת קורונה,243136,5.3,125,1.1,271,4.2,1434,4.5,3734,4.3
זכר,40-49,3 חודשים,24717,5.4,5,0.7,9,2,30,1.1,245,2.1
זכר,40-49,חודש אחרון,1608,4.8,1,0.8,3,2,2,0.4,43,1.9
זכר,40-49,6 חודשים,52020,5.7,7,0.6,17,2.1,48,1.2,368,2.1
נקבה,40-49,חודש אחרון,2554,7.7,1,0.8,1,0.7,1,0.2,34,1.5
נקבה,40-49,6 חודשים,75845,8.3,6,0.5,12,1.5,33,0.8,379,2.2
נקבה,40-49,מתחילת קורונה,348706,7.6,80,0.7,142,2.2,981,3.1,3697,4.2
נקבה,40-49,3 חודשים,36384,8,4,0.5,6,1.3,22,0.8,243,2
נקבה,40-49,שנה,274998,7.9,25,0.6,48,2,261,2.1,1335,3.2
זכר,50-59,חודש אחרון,1614,4.9,1,0.8,12,7.9,15,3,81,3.5
זכר,50-59,6 חודשים,43915,4.8,26,2.1,51,6.2,120,2.9,645,3.7
זכר,50-59,מתחילת קורונה,170631,3.7,398,3.4,567,8.8,2300,7.2,5163,5.9
זכר,50-59,3 חודשים,22449,4.9,9,1.2,22,4.9,76,2.7,400,3.4
זכר,50-59,שנה,128485,3.7,129,3,187,7.7,610,5,1784,4.2
נקבה,50-59,חודש אחרון,2577,7.8,3,2.5,8,5.3,11,2.2,68,3
