city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
ירושלים,156011,2305,1462,71567,24
תל אביב - יפו,47625,819,439,46248,18
באר שבע,26940,625,370,19792,32
רהט,7848,623,382,6079,90
בני ברק,61372,489,276,8355,24
נתניה,33254,479,290,19108,22
פתח תקווה,36064,440,264,19813,18
נצרת,12515,405,203,7468,51
חיפה,28009,395,222,20920,15
טייבה,7830,380,252,6949,85
בית שמש,27046,376,249,7093,28
אשדוד,41376,348,195,17132,15
ראשון לציון,27287,348,206,18489,14
אום אל-פחם,9490,345,201,5715,61
חולון,25888,329,198,13988,18
רחובות,20136,321,223,11495,23
אשקלון,20659,311,167,10669,22
בת ים,17109,301,169,10643,24
רמלה,15022,284,149,6730,37
מגאר,3605,267,127,3451,116
שפרעם,5850,262,150,4170,63
קלנסווה,3916,259,148,4823,111
לוד,13466,242,148,7220,30
חורה,1574,242,133,1707,131
טירה,4863,229,109,4341,85
סח'נין,6176,224,136,3417,67
תל שבע,1412,219,134,1904,104
מודיעין עילית,29381,211,125,2159,27
כפר מנדא,2281,202,86,2538,97
באקה אל-גרביה,4966,194,86,3036,65
חדרה,13300,187,116,6702,19
כסיפה,1435,186,111,1188,102
כפר קאסם,4860,179,117,3094,73
מג'ד אל-כרום,2893,177,88,2623,114
טבריה,7719,175,88,3477,38
רמת גן,14267,174,98,16014,12
צפת,6949,168,115,2456,46
ירכא,3226,160,88,2004,102
אופקים,7513,157,104,2653,47
טמרה,5858,154,80,3545,44
רעננה,7496,152,81,7560,20
לקיה,1374,148,90,1125,93
ראש העין,9643,146,96,5977,22
ערד,5517,144,105,2520,53
ערערה,3254,138,59,1632,68
עפולה,7415,136,89,4073,24
כפר סבא,8263,133,88,8876,14
עכו,7192,131,85,3588,26
יפיע,3013,125,38,1523,64
כפר קרע,2783,123,64,1699,63
דימונה,4296,122,69,2737,34
הרצליה,8419,121,56,8972,13
אילת,6138,120,75,7165,21
כפר כנא,3138,118,63,2426,51
