section,female,male,period
0-9,"{'amount': 239617, 'percentage': 7.1}","{'amount': 300900, 'percentage': 9}",שנה
0-9,"{'amount': 1479, 'percentage': 1.5}","{'amount': 1317, 'percentage': 1.4}",3 חודשים
0-9,"{'amount': 18067, 'percentage': 3.6}","{'amount': 20235, 'percentage': 4}",6 חודשים
0-9,"{'amount': 504, 'percentage': 1.1}","{'amount': 540, 'percentage': 1.2}",חודש אחרון
0-9,"{'amount': 364860, 'percentage': 7.8}","{'amount': 442800, 'percentage': 9.4}",מתחילת קורונה
10-19,"{'amount': 1998, 'percentage': 4.4}","{'amount': 1439, 'percentage': 3.2}",חודש אחרון
10-19,"{'amount': 293351, 'percentage': 8.7}","{'amount': 291697, 'percentage': 8.7}",שנה
10-19,"{'amount': 20480, 'percentage': 4.1}","{'amount': 18087, 'percentage': 3.6}",6 חודשים
10-19,"{'amount': 4146, 'percentage': 4.3}","{'amount': 2878, 'percentage': 3}",3 חודשים
10-19,"{'amount': 434114, 'percentage': 9.2}","{'amount': 441947, 'percentage': 9.4}",מתחילת קורונה
20-29,"{'amount': 31074, 'percentage': 6.2}","{'amount': 21853, 'percentage': 4.4}",6 חודשים
20-29,"{'amount': 264469, 'percentage': 7.9}","{'amount': 171972, 'percentage': 5.1}",שנה
20-29,"{'amount': 6074, 'percentage': 6.3}","{'amount': 3687, 'percentage': 3.8}",3 חודשים
20-29,"{'amount': 3096, 'percentage': 6.8}","{'amount': 2029, 'percentage': 4.5}",חודש אחרון
20-29,"{'amount': 387202, 'percentage': 8.2}","{'amount': 272449, 'percentage': 5.8}",מתחילת קורונה
30-39,"{'amount': 290478, 'percentage': 8.7}","{'amount': 191529, 'percentage': 5.7}",שנה
30-39,"{'amount': 6504, 'percentage': 6.7}","{'amount': 4463, 'percentage': 4.6}",3 חודשים
30-39,"{'amount': 37709, 'percentage': 7.5}","{'amount': 27276, 'percentage': 5.4}",6 חודשים
30-39,"{'amount': 3229, 'percentage': 7.1}","{'amount': 2274, 'percentage': 5}",חודש אחרון
30-39,"{'amount': 394809, 'percentage': 8.4}","{'amount': 273490, 'percentage': 5.8}",מתחילת קורונה
40-49,"{'amount': 272372, 'percentage': 8.1}","{'amount': 180173, 'percentage': 5.4}",שנה
40-49,"{'amount': 7872, 'percentage': 8.1}","{'amount': 4512, 'percentage': 4.7}",3 חודשים
40-49,"{'amount': 39859, 'percentage': 7.9}","{'amount': 26416, 'percentage': 5.3}",6 חודשים
40-49,"{'amount': 3828, 'percentage': 8.4}","{'amount': 2257, 'percentage': 5}",חודש אחרון
40-49,"{'amount': 357175, 'percentage': 7.6}","{'amount': 248137, 'percentage': 5.3}",מתחילת קורונה
50-59,"{'amount': 3966, 'percentage': 8.7}","{'amount': 2316, 'percentage': 5.1}",חודש אחרון
50-59,"{'amount': 198258, 'percentage': 5.9}","{'amount': 129807, 'percentage': 3.9}",שנה
50-59,"{'amount': 39606, 'percentage': 7.9}","{'amount': 24545, 'percentage': 4.9}",6 חודשים
50-59,"{'amount': 8382, 'percentage': 8.7}","{'amount': 4723, 'percentage': 4.9}",3 חודשים
50-59,"{'amount': 253828, 'percentage': 5.4}","{'amount': 175838, 'percentage': 3.7}",מתחילת קורונה
60-69,"{'amount': 153480, 'percentage': 4.6}","{'amount': 107804, 'percentage': 3.2}",שנה
60-69,"{'amount': 42117, 'percentage': 8.4}","{'amount': 29279, 'percentage': 5.8}",6 חודשים
60-69,"{'amount': 9006, 'percentage': 9.3}","{'amount': 6097, 'percentage': 6.3}",3 חודשים
60-69,"{'amount': 3981, 'percentage': 8.8}","{'amount': 2712, 'percentage': 6}",חודש אחרון
60-69,"{'amount': 187578, 'percentage': 4}","{'amount': 138721, 'percentage': 3}",מתחילת קורונה
70-79,"{'amount': 98492, 'percentage': 2.9}","{'amount': 79317, 'percentage': 2.4}",שנה
70-79,"{'amount': 3689, 'percentage': 8.1}","{'amount': 2921, 'percentage': 6.4}",חודש אחרון
70-79,"{'amount': 37090, 'percentage': 7.4}","{'amount': 29119, 'percentage': 5.8}",6 חודשים
70-79,"{'amount': 8814, 'percentage': 9.1}","{'amount': 6868, 'percentage': 7.1}",3 חודשים
70-79,"{'amount': 115949, 'percentage': 2.5}","{'amount': 95102, 'percentage': 2}",מתחילת קורונה
80-89,"{'amount': 42271, 'percentage': 1.3}","{'amount': 30900, 'percentage': 0.9}",שנה
80-89,"{'amount': 17924, 'percentage': 3.6}","{'amount': 12894, 'percentage': 2.6}",6 חודשים
80-89,"{'amount': 4606, 'percentage': 4.8}","{'amount': 3247, 'percentage': 3.4}",3 חודשים
80-89,"{'amount': 2086, 'percentage': 4.6}","{'amount': 1468, 'percentage': 3.2}",חודש אחרון
80-89,"{'amount': 52208, 'percentage': 1.1}","{'amount': 38039, 'percentage': 0.8}",מתחילת קורונה
90+,"{'amount': 5281, 'percentage': 1.1}","{'amount': 2774, 'percentage': 0.6}",6 חודשים
90+,"{'amount': 12061, 'percentage': 0.4}","{'amount': 6496, 'percentage': 0.2}",שנה
90+,"{'amount': 1403, 'percentage': 1.4}","{'amount': 772, 'percentage': 0.8}",3 חודשים
90+,"{'amount': 708, 'percentage': 1.6}","{'amount': 397, 'percentage': 0.9}",חודש אחרון
90+,"{'amount': 15668, 'percentage': 0.3}","{'amount': 8248, 'percentage': 0.2}",מתחילת קורונה
