age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,618402,419125,1538337,40.2,27.2
20-29,1022892,934300,1300361,78.7,71.8
30-39,993662,925795,1197026,83,77.3
40-49,946445,887986,1098556,86.2,80.8
50-59,760865,716850,849966,89.5,84.3
60-69,673172,644017,741639,90.8,86.8
70-79,468217,455129,490784,95.4,92.7
80-89,211755,205571,225538,93.9,91.1
90+,48012,46166,51496,93.2,89.6
