period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,123285,10499,8.52
3_Month,0-9,346578,110969,32.02
6_Month,0-9,1226461,503153,41.02
1_Year,0-9,1490681,623490,41.83
All,0-9,1696454,731520,43.12
1_Month,10-19,134715,8386,6.22
3_Month,10-19,357414,104484,29.23
6_Month,10-19,1146938,538895,46.99
1_Year,10-19,1389247,627412,45.16
All,10-19,1614380,773086,47.89
1_Month,20-29,165865,9253,5.58
3_Month,20-29,431737,89730,20.78
6_Month,20-29,983269,372222,37.86
1_Year,20-29,1214575,434270,35.75
All,20-29,1439344,556257,38.65
1_Month,30-39,155204,13413,8.64
3_Month,30-39,421787,107740,25.54
6_Month,30-39,956037,403217,42.18
1_Year,30-39,1157154,466416,40.31
All,30-39,1340502,552947,41.25
1_Month,40-49,151123,13044,8.63
3_Month,40-49,402507,102420,25.45
6_Month,40-49,873428,370794,42.45
1_Year,40-49,1036093,419499,40.49
All,40-49,1189883,493997,41.52
1_Month,50-59,136214,11321,8.31
3_Month,50-59,343829,76329,22.2
6_Month,50-59,671156,248113,36.97
1_Year,50-59,797758,275784,34.57
All,50-59,922419,333184,36.12
1_Month,60-69,118002,11870,10.06
3_Month,60-69,297409,60317,20.28
6_Month,60-69,550245,172725,31.39
1_Year,60-69,653682,190238,29.1
All,60-69,752641,228779,30.4
1_Month,70-79,78504,9192,11.71
3_Month,70-79,197364,38833,19.68
6_Month,70-79,343927,95507,27.77
1_Year,70-79,411117,105099,25.56
All,70-79,475478,125581,26.41
1_Month,80-89,32845,3670,11.17
3_Month,80-89,74909,14490,19.34
6_Month,80-89,128517,36614,28.49
1_Year,80-89,158239,41203,26.04
All,80-89,199943,52206,26.11
1_Month,90+,9257,963,10.4
3_Month,90+,18257,3403,18.64
6_Month,90+,30153,9324,30.92
1_Year,90+,37640,10523,27.96
All,90+,51737,14193,27.43
