name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,107.0886077880859,44
אל מקאסד,,,0
שמיר,,82.1548843383789,13
וולפסון,,80.38067626953125,19
זיו צפת,,84.72622680664062,11
הלל יפה,,83.49514770507812,15
נהריה,,,0
ברזילי,,,0
פוריה,,,0
בני ציון,,84.98844909667969,12
רבין ק. בילינסון,,88.74251556396484,35
סורוקה,,89.40052032470703,19
מאיר,,90.35989379882812,28
קפלן,,89.35018157958984,32
המרכזי בעמק,,83.44827270507812,15
"רמב""ם",,90.67623138427734,20
הסקוטי,,,3
שערי צדק,,99.02794647216797,3
לניאדו,,,0
אוגוסטה ויקטוריה,,,0
מעייני הישועה,,,0
אסותא אשדוד,,,0
סוראסקי,,,0
הכרמל,,88.75255584716797,3
המשפחה הקדושה,,,0
השרון ק. גולדה,,62.65560150146484,8
יוספטל,,81.53845977783203,1
סנט וינסנט,,,0
סנט ג'וזף,,,0
הדסה עין כרם,,102.3809509277344,17
