period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,980259,353659,36.08
3_Month,0-9,1138313,385123,33.83
6_Month,0-9,1390874,496663,35.71
1_Year,0-9,1507808,536153,35.56
All,0-9,1655793,620548,37.48
1_Month,10-19,806805,378679,46.94
1_Year,10-19,1382568,543827,39.33
All,10-19,1563369,670195,42.87
6_Month,10-19,1256826,509540,40.54
3_Month,10-19,1031333,428143,41.51
All,20-29,1349918,468856,34.73
6_Month,20-29,1022942,334457,32.7
3_Month,20-29,784116,278356,35.5
1_Month,20-29,573715,244678,42.65
1_Year,20-29,1168312,361381,30.93
1_Month,30-39,589368,262652,44.57
3_Month,30-39,766433,290043,37.84
6_Month,30-39,969394,347039,35.8
All,30-39,1242886,446656,35.94
1_Year,30-39,1094226,370445,33.85
All,40-49,1098204,391971,35.69
1_Year,40-49,966393,324352,33.56
6_Month,40-49,865535,305390,35.28
3_Month,40-49,702892,263236,37.45
1_Month,40-49,542224,237777,43.85
6_Month,50-59,637717,191237,29.99
1_Month,50-59,378275,153406,40.55
3_Month,50-59,508221,168451,33.15
1_Year,50-59,717351,203819,28.41
All,50-59,829814,257035,30.98
All,60-69,665310,168160,25.28
1_Year,60-69,573010,132090,23.05
6_Month,60-69,508448,123159,24.22
3_Month,60-69,403860,110175,27.28
1_Month,60-69,304181,100190,32.94
6_Month,70-79,306106,62134,20.3
3_Month,70-79,239220,55510,23.2
1_Year,70-79,350036,67317,19.23
1_Month,70-79,177492,50201,28.28
All,70-79,409726,86260,21.05
1_Month,80-89,72829,19865,27.28
3_Month,80-89,93234,21573,23.14
6_Month,80-89,119179,24892,20.89
1_Year,80-89,141293,27377,19.38
All,80-89,177117,37477,21.16
1_Month,90+,19165,5414,28.25
3_Month,90+,23493,5814,24.75
6_Month,90+,29311,6694,22.84
1_Year,90+,35512,7384,20.79
All,90+,47034,10800,22.96
