instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,44.7,66.4,2022-02-09T00:00:00.000Z
יוספטל,50,55.4,2022-02-09T00:00:00.000Z
הכרמל,55.7,81,2022-02-09T00:00:00.000Z
פוריה,57.7,74.4,2022-02-09T00:00:00.000Z
וולפסון,57,75.7,2022-02-09T00:00:00.000Z
בני ציון,57.9,77.1,2022-02-09T00:00:00.000Z
הדסה הר הצופים,63.9,87.2,2022-02-09T00:00:00.000Z
איכילוב,64.7,110.7,2022-02-09T00:00:00.000Z
זיו צפת,65.6,73.8,2022-02-09T00:00:00.000Z
מאיר,67.5,80.5,2022-02-09T00:00:00.000Z
שמיר,73,75.8,2022-02-09T00:00:00.000Z
סורוקה,73.6,77.2,2022-02-09T00:00:00.000Z
"רמב""ם",74.2,85,2022-02-09T00:00:00.000Z
קפלן,75.3,85.5,2022-02-09T00:00:00.000Z
שערי צדק,78,108.3,2022-02-09T00:00:00.000Z
ברזילי,79.2,76,2022-02-09T00:00:00.000Z
נהריה,80,86.2,2022-02-09T00:00:00.000Z
רבין ק. בילינסון,81.9,91.5,2022-02-09T00:00:00.000Z
המרכזי בעמק,83.2,73.3,2022-02-09T00:00:00.000Z
לניאדו,87.2,90,2022-02-09T00:00:00.000Z
שיבא,92.9,103.8,2022-02-09T00:00:00.000Z
אסותא אשדוד,100,96.9,2022-02-09T00:00:00.000Z
הדסה עין כרם,106.8,99.2,2022-02-09T00:00:00.000Z
