name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
אבן יהודה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-04-12T00:00:00.000Z,66.91365061271017,64.49843260188088,0.0
מגדל העמק,1.9,ירוק,0.4,0.0014245014245,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,61.360992632803416,57.87126793330748,
גני מודיעין,2,ירוק,0.0,0,0, 0 ,ירוק,2021-04-12T00:00:00.000Z,27.54158964879852,25.064695009242143,0.0
באר שבע,2,ירוק,1.7,0.0065530799475,-0.5625,81,ירוק,2021-04-12T00:00:00.000Z,64.96980401093893,60.892395928289275,3.8
קרית מוצקין,1.6,ירוק,0.7,0.0029440628066,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,69.96326521633928,67.1388662809881,
אליכין,3.2,ירוק,0.0,0,0, 0 ,ירוק,2021-04-12T00:00:00.000Z,63.214079630698215,59.896133871898435,0.0
נס ציונה,3.3,ירוק,1.6,0.0053872053872,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,61.38090714794585,59.13876355576664,
ערד,1.2,ירוק,0.4,0.0011587485515,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,63.76886271623113,58.13029076186971,
צור משה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-04-12T00:00:00.000Z,54.02472113355442,51.91438046427494,0.0
קצרין,2.3,ירוק,1.3,0.0059523809523,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,60.516850939123486,57.732782736112966,
מעלה עירון,3.8,צהוב,8.5,0.0656565656565,0.08333333333329995,24,צהוב,2021-04-12T00:00:00.000Z,47.71024688945346,42.010292489088656,15.6
סולם,3.1,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,63.40634441087614,56.87311178247734,
אום אל-פחם,2.7,ירוק,4.6,0.0408163265306,-0.3953488372094,41,ירוק,2021-04-12T00:00:00.000Z,49.53537989526211,43.09593920265195,7.2
סח'נין,2.6,ירוק,0.6,0.0053475935828,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,56.154562383612664,50,
כפר מנדא,2.5,ירוק,1.0,0.010101010101,0, קטן מ-15 ,ירוק,2021-04-12T00:00:00.000Z,47.38961669092674,40.591945657447845,
