period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,6871,1085,15.79
3_Month,0-9,20102,3731,18.56
6_Month,0-9,119657,46688,39.02
1_Year,0-9,1243947,539824,43.4
All,0-9,1713960,767128,44.76
1_Month,10-19,10577,2673,25.27
3_Month,10-19,28403,6410,22.57
6_Month,10-19,127076,47521,37.4
1_Year,10-19,1167560,577125,49.43
All,10-19,1630908,809357,49.63
1_Month,20-29,16525,3624,21.93
3_Month,20-29,42467,7819,18.41
6_Month,20-29,163050,60807,37.29
1_Year,20-29,1031405,426904,41.39
All,20-29,1475235,605775,41.06
1_Month,30-39,16455,3855,23.43
3_Month,30-39,41385,9310,22.5
6_Month,30-39,175710,74914,42.64
1_Year,30-39,1000718,470374,47
All,30-39,1373814,614387,44.72
1_Month,40-49,17879,4528,25.33
3_Month,40-49,43007,10653,24.77
6_Month,40-49,172422,76829,44.56
1_Year,40-49,913587,440966,48.27
All,40-49,1220667,558610,45.76
1_Month,50-59,18631,4655,24.99
3_Month,50-59,43780,11230,25.65
6_Month,50-59,160296,73990,46.16
1_Year,50-59,717903,319211,44.46
All,50-59,956246,399510,41.78
1_Month,60-69,21028,5229,24.87
3_Month,60-69,50277,13473,26.8
6_Month,60-69,171952,81696,47.51
1_Year,60-69,604660,253181,41.87
All,60-69,790264,305821,38.7
1_Month,70-79,23031,5294,22.99
3_Month,70-79,51926,14334,27.6
6_Month,70-79,155315,75367,48.53
1_Year,70-79,401779,170740,42.5
All,70-79,515957,199004,38.57
1_Month,80-89,18740,2694,14.38
3_Month,80-89,33490,6648,19.85
6_Month,80-89,78202,33259,42.53
1_Year,80-89,157579,69275,43.96
All,80-89,220568,83908,38.04
1_Month,90+,6740,747,11.08
3_Month,90+,11099,1725,15.54
6_Month,90+,21889,8254,37.71
1_Year,90+,37745,17202,45.57
All,90+,57780,21759,37.66
