gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,3 חודשים,28967,6.3,0,0,3,0.7,17,1.2,278,4.5
זכר,0-9,מתחילת קורונה,419526,10.2,7,0.1,31,0.5,112,0.4,2791,3.6
זכר,0-9,חודש אחרון,3148,4.3,0,0,1,1.1,2,0.7,47,3
זכר,0-9,שנה,351101,10.7,5,0.1,23,1,81,0.7,1905,5.1
זכר,0-9,6 חודשים,278357,10,4,0.2,17,1.2,55,0.8,1411,5.7
נקבה,0-9,חודש אחרון,2569,3.5,0,0,0,0,0,0,43,2.8
נקבה,0-9,6 חודשים,219260,7.9,2,0.1,8,0.6,35,0.5,1169,4.7
נקבה,0-9,שנה,285979,8.7,2,0,8,0.3,54,0.4,1586,4.3
נקבה,0-9,3 חודשים,23435,5.1,0,0,2,0.5,5,0.4,235,3.8
נקבה,0-9,מתחילת קורונה,343997,8.3,5,0,15,0.2,73,0.3,2304,3
זכר,10-19,חודש אחרון,3737,5.1,0,0,0,0,1,0.3,15,1
זכר,10-19,מתחילת קורונה,420283,10.2,7,0.1,23,0.4,77,0.3,971,1.3
זכר,10-19,3 חודשים,25517,5.6,0,0,0,0,1,0.1,51,0.8
זכר,10-19,6 חודשים,270545,9.7,4,0.2,9,0.7,24,0.3,346,1.4
זכר,10-19,שנה,323928,9.8,5,0.1,14,0.6,41,0.3,515,1.4
נקבה,10-19,3 חודשים,26372,5.8,1,0.2,2,0.5,5,0.4,71,1.1
נקבה,10-19,מתחילת קורונה,409757,9.9,8,0.1,24,0.4,78,0.3,1110,1.4
נקבה,10-19,חודש אחרון,3713,5,1,1.9,1,1.1,1,0.3,19,1.2
נקבה,10-19,שנה,324565,9.8,4,0.1,16,0.7,35,0.3,597,1.6
נקבה,10-19,6 חודשים,269465,9.7,3,0.1,10,0.7,17,0.2,371,1.5
זכר,20-29,חודש אחרון,2984,4,0,0,0,0,3,1,18,1.2
זכר,20-29,6 חודשים,146904,5.3,2,0.1,10,0.7,41,0.6,372,1.5
זכר,20-29,3 חודשים,23709,5.2,1,0.2,4,1,7,0.5,90,1.4
זכר,20-29,שנה,176309,5.3,5,0.1,22,0.9,94,0.8,604,1.6
זכר,20-29,מתחילת קורונה,246950,6,24,0.2,54,0.9,245,0.8,1542,2
נקבה,20-29,מתחילת קורונה,352643,8.5,22,0.2,57,0.9,270,0.9,4934,6.4
נקבה,20-29,חודש אחרון,4594,6.2,0,0,1,1.1,0,0,80,5.2
נקבה,20-29,3 חודשים,35172,7.7,0,0,1,0.2,2,0.1,281,4.5
נקבה,20-29,6 חודשים,229955,8.2,5,0.2,12,0.9,24,0.3,1701,6.8
נקבה,20-29,שנה,268756,8.2,9,0.2,20,0.8,97,0.8,2493,6.7
זכר,30-39,חודש אחרון,4041,5.5,0,0,1,1.1,0,0,24,1.5
זכר,30-39,6 חודשים,160367,5.7,11,0.4,28,2,60,0.9,467,1.9
זכר,30-39,שנה,189343,5.7,24,0.5,46,1.9,215,1.8,889,2.4
זכר,30-39,3 חודשים,29407,6.4,4,0.9,14,3.4,15,1.1,123,2
זכר,30-39,מתחילת קורונה,241992,5.9,53,0.5,102,1.7,625,2.2,2186,2.9
נקבה,30-39,3 חודשים,40257,8.8,2,0.4,9,2.2,15,1.1,327,5.2
נקבה,30-39,מתחילת קורונה,352614,8.5,38,0.3,106,1.8,595,2.1,4996,6.5
נקבה,30-39,חודש אחרון,5572,7.5,0,0,2,2.3,2,0.7,68,4.4
נקבה,30-39,שנה,290163,8.8,16,0.4,36,1.5,221,1.8,2639,7.1
נקבה,30-39,6 חודשים,248520,8.9,6,0.2,16,1.2,68,1,1697,6.8
זכר,40-49,חודש אחרון,4207,5.7,0,0,2,2.3,3,1,29,1.9
זכר,40-49,6 חודשים,149798,5.4,18,0.7,48,3.5,141,2.1,592,2.4
