CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.009212730318257957,2020-03-02T00:00:00.000Z,1,5632,-152,0,1194
0,0,10,0,0,10,10,0.008375209380234505,2020-03-03T00:00:00.000Z,0,7857,-149,0,1194
0,0,11,0,0,11,11,0.009212730318257957,2020-03-04T00:00:00.000Z,0,7012,-151,0,1194
0,0,12,1,0,13,13,0.01088777219430486,2020-03-05T00:00:00.000Z,1,7012,-151,0,1194
1,0,14,2,0,16,16,0.01340033500837521,2020-03-06T00:00:00.000Z,1,5177,-150,0,1194
2,0,17,3,0,20,20,0.01675041876046901,2020-03-07T00:00:00.000Z,1,4861,-150,0,1194
4,0,21,5,0,26,26,0.02177554438860972,2020-03-08T00:00:00.000Z,2,7330,-147,0,1194
5,0,33,6,0,39,39,0.03266331658291458,2020-03-09T00:00:00.000Z,7,6205,-156,0,1194
5,0,53,6,0,59,59,0.04941373534338359,2020-03-10T00:00:00.000Z,2,6021,-143,0,1194
6,0,73,7,1,81,81,0.0678391959798995,2020-03-11T00:00:00.000Z,10,5981,-145,0,1194
6,0,95,7,1,103,101,0.08626465661641541,2020-03-12T00:00:00.000Z,6,5983,-144,0,1194
6,0,112,7,4,123,122,0.1030150753768844,2020-03-13T00:00:00.000Z,10,4121,-130,0,1194
4,0,152,6,4,162,161,0.135678391959799,2020-03-14T00:00:00.000Z,20,3692,-140,0,1194
6,0,187,9,6,202,200,0.169179229480737,2020-03-15T00:00:00.000Z,37,5491,-141,0,1194
7,0,205,11,5,221,215,0.1850921273031826,2020-03-16T00:00:00.000Z,27,4759,-83,0,1194
7,0,238,12,6,256,256,0.2144053601340034,2020-03-17T00:00:00.000Z,46,4338,-34,0,1194
7,0,279,16,11,306,269,0.2562814070351759,2020-03-18T00:00:00.000Z,54,3920,66,0,1194
12,0,263,21,11,295,264,0.2470686767169179,2020-03-19T00:00:00.000Z,31,4053,196,0,1194
12,1,252,23,14,289,251,0.2420435510887772,2020-03-20T00:00:00.000Z,30,3207,373,0,1194
15,0,229,27,21,277,273,0.2319932998324958,2020-03-21T00:00:00.000Z,35,2905,557,0,1194
22,0,255,37,32,324,305,0.271356783919598,2020-03-22T00:00:00.000Z,54,4523,772,0,1194
24,0,274,42,36,352,323,0.2948073701842546,2020-03-23T00:00:00.000Z,58,4053,1092,0,1194
26,3,302,45,48,395,343,0.330820770519263,2020-03-24T00:00:00.000Z,82,3963,1485,0,1194
