name,value
פראמדיקים,3
פסיכולוגיה,4
קלינאות תקשורת,8
שירות סוציאלי,9
פיזיותרפיה,12
ריפוי בעיסוק,13
מעבדה,15
רוקחות,17
חובשי רפואת חירום,29
מערך לוגיסטי,47
כוח עזר,57
מינהל ומשק,279
סקטורים אחרים,524
