priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date,israeli_positive,foreigner_positive
LastMonth,Ivory Coast,כתום,2,125,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Luxembourg  ,כתום,2,100,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Guyana ,כתום,2,3,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Cape Verde Islands,כתום,2,1,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Hungary,כתום,2,16728,204,1.22,2022-08-24T00:00:00.000Z,204,0
LastMonth,Zimbabwe ,כתום,2,62,1,1.61,2022-08-24T00:00:00.000Z,1,0
LastMonth,Republic Of South Sudan,כתום,2,27,1,3.7,2022-08-24T00:00:00.000Z,1,0
LastMonth,United Kingdom,כתום,2,32097,288,0.9,2022-08-24T00:00:00.000Z,285,3
LastMonth,Mozambique,כתום,2,17,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Kazakhstan,כתום,2,340,10,2.94,2022-08-24T00:00:00.000Z,10,0
LastMonth,Australia,כתום,2,1069,5,0.47,2022-08-24T00:00:00.000Z,4,1
LastMonth,Azerbaijan,כתום,2,3640,51,1.4,2022-08-24T00:00:00.000Z,51,0
LastMonth,Argentina,כתום,2,1131,3,0.27,2022-08-24T00:00:00.000Z,2,1
LastMonth,Ecuador,כתום,2,134,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Vietnam ,כתום,2,146,7,4.79,2022-08-24T00:00:00.000Z,4,3
LastMonth,Antilles,כתום,2,9,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Namibia  ,כתום,2,29,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Ethiopia ,כתום,2,1898,5,0.26,2022-08-24T00:00:00.000Z,5,0
LastMonth,Chile  ,כתום,2,148,1,0.68,2022-08-24T00:00:00.000Z,1,0
month3,Ukraine ,כתום,2,158,1,0.63,2022-08-24T00:00:00.000Z,1,0
month3,Trinidad And Tobago,כתום,2,16,0,0,2022-08-24T00:00:00.000Z,0,0
month3,France,כתום,2,126876,2738,2.16,2022-08-24T00:00:00.000Z,2701,37
month3,Norfolk Island,כתום,2,8,2,25,2022-08-24T00:00:00.000Z,2,0
month3,Serbia,כתום,2,4473,63,1.41,2022-08-24T00:00:00.000Z,62,1
month3,French Guiana ,כתום,2,80,1,1.25,2022-08-24T00:00:00.000Z,1,0
month3,South Africa,כתום,2,7184,31,0.43,2022-08-24T00:00:00.000Z,24,7
month3,Republic Of The Congo,כתום,2,18,1,5.56,2022-08-24T00:00:00.000Z,1,0
month3,Uzbekistan ,כתום,2,4546,46,1.01,2022-08-24T00:00:00.000Z,40,6
month3,Guam ,כתום,2,15,0,0,2022-08-24T00:00:00.000Z,0,0
month3,Somalia,כתום,2,3,0,0,2022-08-24T00:00:00.000Z,0,0
month3,Moldova,כתום,2,11201,70,0.62,2022-08-24T00:00:00.000Z,63,7
month3,Qatar,כתום,2,133,2,1.5,2022-08-24T00:00:00.000Z,1,1
month3,Kuwait  ,כתום,2,34,0,0,2022-08-24T00:00:00.000Z,0,0
month3,Seychelles,כתום,2,2766,25,0.9,2022-08-24T00:00:00.000Z,25,0
month3,United Kingdom,כתום,2,100012,1978,1.98,2022-08-24T00:00:00.000Z,1942,36
month3,Mozambique,כתום,2,40,0,0,2022-08-24T00:00:00.000Z,0,0
month3,Syria,כתום,2,5,0,0,2022-08-24T00:00:00.000Z,0,0
month3,Kazakhstan,כתום,2,830,18,2.17,2022-08-24T00:00:00.000Z,18,0
month3,Azerbaijan,כתום,2,9472,290,3.06,2022-08-24T00:00:00.000Z,290,0
month3,Argentina,כתום,2,4296,15,0.35,2022-08-24T00:00:00.000Z,14,1
month3,Malaysia ,כתום,2,19,0,0,2022-08-24T00:00:00.000Z,0,0
month3,United Arab Emirates,כתום,2,41041,422,1.03,2022-08-24T00:00:00.000Z,407,15
month3,Chad  ,כתום,2,28,1,3.57,2022-08-24T00:00:00.000Z,1,0
month3,Russia,כתום,2,31845,164,0.51,2022-08-24T00:00:00.000Z,147,17
month3,Tuvalu ,כתום,2,6,0,0,2022-08-24T00:00:00.000Z,0,0
month3,Bermuda ,כתום,2,4,0,0,2022-08-24T00:00:00.000Z,0,0
month3,Fiji,כתום,2,7,0,0,2022-08-24T00:00:00.000Z,0,0
month6,Canada,כתום,2,50558,545,1.08,2022-08-24T00:00:00.000Z,414,131
month6,Wallis And Futuna Islands,כתום,2,5,0,0,2022-08-24T00:00:00.000Z,0,0
month6,Rwanda  ,כתום,2,723,14,1.94,2022-08-24T00:00:00.000Z,14,0
month6,Afghanistan,כתום,2,105,1,0.95,2022-08-24T00:00:00.000Z,1,0
month6,Djibouti,כתום,2,21,0,0,2022-08-24T00:00:00.000Z,0,0
month6,Seychelles,כתום,2,7243,134,1.85,2022-08-24T00:00:00.000Z,134,0
month6,United Kingdom,כתום,2,224881,5159,2.29,2022-08-24T00:00:00.000Z,4823,336
month6,Mozambique,כתום,2,77,0,0,2022-08-24T00:00:00.000Z,0,0
month6,Syria,כתום,2,7,0,0,2022-08-24T00:00:00.000Z,0,0
month6,Grenada,כתום,2,111,1,0.9,2022-08-24T00:00:00.000Z,1,0
month6,New Caledonia,כתום,2,5,0,0,2022-08-24T00:00:00.000Z,0,0
month6,Australia,כתום,2,8653,120,1.39,2022-08-24T00:00:00.000Z,90,30
month6,Eritrea ,כתום,2,4,0,0,2022-08-24T00:00:00.000Z,0,0
month6,Chad  ,כתום,2,52,1,1.92,2022-08-24T00:00:00.000Z,1,0
month6,Iran,כתום,2,2,0,0,2022-08-24T00:00:00.000Z,0,0
LastMonth,Croatia ,כתום,2,2498,22,0.88,2022-08-24T00:00:00.000Z,21,1
LastMonth,Uzbekistan ,כתום,2,1815,6,0.33,2022-08-24T00:00:00.000Z,5,1
LastMonth,Angola ,כתום,2,86,0,0,2022-08-24T00:00:00.000Z,0,0
