period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,20757,6042,29.11
3_Month,0-9,107033,43230,40.39
6_Month,0-9,356509,113407,31.81
1_Year,0-9,1439212,630028,43.78
All,0-9,1710234,764603,44.71
1_Month,10-19,21783,4764,21.87
3_Month,10-19,107319,41541,38.71
6_Month,10-19,375018,109618,29.23
1_Year,10-19,1326903,639261,48.18
All,10-19,1627608,805431,49.49
1_Month,20-29,31971,8687,27.17
3_Month,20-29,131932,53260,40.37
6_Month,20-29,495334,122808,24.79
1_Year,20-29,1174561,463344,39.45
All,20-29,1468720,600271,40.87
1_Month,30-39,35530,10307,29.01
3_Month,30-39,147941,66080,44.67
6_Month,30-39,489603,147638,30.15
1_Year,30-39,1125503,506315,44.99
All,30-39,1368483,607852,44.42
1_Month,40-49,34440,10139,29.44
3_Month,40-49,144740,66593,46.01
6_Month,40-49,464788,144680,31.13
1_Year,40-49,1009907,463084,45.85
All,40-49,1215674,551213,45.34
1_Month,50-59,32914,9938,30.19
3_Month,50-59,133187,63175,47.43
6_Month,50-59,409393,124602,30.44
1_Year,50-59,787769,324742,41.22
All,50-59,950795,390780,41.1
1_Month,60-69,36681,11519,31.4
3_Month,60-69,141787,68687,48.44
6_Month,60-69,373198,120273,32.23
1_Year,60-69,655631,249275,38.02
All,60-69,783912,294334,37.55
1_Month,70-79,36180,10811,29.88
3_Month,70-79,126446,61402,48.56
6_Month,70-79,267143,96310,36.05
1_Year,70-79,426911,161364,37.8
All,70-79,507703,186007,36.64
1_Month,80-89,25405,5540,21.81
3_Month,80-89,65390,26736,40.89
6_Month,80-89,106471,39457,37.06
1_Year,80-89,166595,65096,39.07
All,80-89,215791,77913,36.11
1_Month,90+,8495,1569,18.47
3_Month,90+,18499,6575,35.54
6_Month,90+,26015,9525,36.61
1_Year,90+,39651,16207,40.87
All,90+,56076,20299,36.2
