age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,275823,162955,1538337,17.9,10.6
20-29,832877,459191,1300361,64,35.3
30-39,849645,523902,1197026,71,43.8
40-49,854470,646204,1098556,77.8,58.8
50-59,708524,580059,849966,83.4,68.2
60-69,636562,570081,741639,85.8,76.9
70-79,466335,434275,490784,95,88.5
80-89,207939,192867,225538,92.2,85.5
90+,48756,44675,51496,94.7,86.8
