priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
month6,ירדן,כתום,2,33325,193,0.58,
month6,ויטנאם,כתום,2,86,0,0,
month6,בלגיה,כתום,2,13444,52,0.39,
month6,סוריה,כתום,2,575,0,0,
month6,אירן,כתום,2,3,0,0,
month6,מלדיבים,כתום,2,4887,25,0.51,
month6,מוזמביק,כתום,2,91,0,0,
month6,לאוס,כתום,2,2,0,0,
month6,חוף השנהב,כתום,2,240,4,1.67,
month6,ניקרגואה,כתום,2,25,0,0,
month6,אקואדור,כתום,2,304,2,0.66,
month6,פורטו ריקו,כתום,2,34,0,0,
month6,מלטה,צהוב,3,308,0,0,
month6,מונגוליה,כתום,2,11,0,0,
month6,קפריסין,צהוב,3,59283,247,0.42,
month6,גמביה,כתום,2,18,0,0,
month6,רואנדה,כתום,2,348,2,0.57,
month6,אנגליה,כתום,2,1,0,0,
month6,גינאה החדשה,כתום,2,3,0,0,
month6,ראוניון,כתום,2,9,0,0,
month6,הונדורס,כתום,2,74,0,0,
month6,סט וינסנט,כתום,2,9,1,11.11,
month6,יפן,כתום,2,654,3,0.46,
month6,פיליפינים,כתום,2,1557,18,1.16,
month6,בהמס,כתום,2,43,0,0,
month6,לטביה,כתום,2,2284,3,0.13,
month6,בוליביה,כתום,2,87,0,0,
month6,תורכמניסטאן,כתום,2,1012,25,2.47,
month6,טג'יקיסטאן,כתום,2,70,0,0,
month6,טונגה,כתום,2,2,0,0,
month6,ברמודה,כתום,2,6,0,0,
month6,זאיר,כתום,2,157,1,0.64,
month6,ספרד,כתום,2,23144,195,0.84,
month6,איי פיגי,כתום,2,4,0,0,
month6,מאלי,כתום,2,164,7,4.27,
month6,איי הבתולה,כתום,2,6,0,0,
month6,גאורגיה,כתום,2,58543,323,0.55,
month6,תימן,כתום,2,9,0,0,
month6,אסטוניה,כתום,2,797,5,0.63,
month6,סומליה,כתום,2,4,0,0,
month6,לוכסמבורג,כתום,2,196,0,0,
month6,פקיסטן,כתום,2,3,0,0,
