name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,96.20252990722656,12
אוגוסטה ויקטוריה,,,0
שמיר,,65.768798828125,9
וולפסון,,74.67057037353516,1
זיו צפת,,68.87608337402344,6
הלל יפה,,,0
נהריה,,,0
ברזילי,,,0
פוריה,,68.16901397705078,2
סוראסקי,,,0
בני ציון,,78.75288391113281,7
רבין ק. בילינסון,,85.22049713134766,7
סורוקה,,73.23103332519531,16
מאיר,,94.7300796508789,3
קפלן,,98.23321533203125,4
"רמב""ם",,87.09016418457031,15
הכרמל,,,0
הדסה עין כרם,,95.50264739990234,12
הסקוטי,,,0
המשפחה הקדושה,,,0
שערי צדק,,99.63548278808594,6
לניאדו,,,0
אסותא אשדוד,,,1
רבין ק. השרון,,61.41078948974609,6
יוספטל,,52.30769348144531,2
מעייני הישועה,,,0
סנט וינסנט,,,0
סנט ג'וזף,,,0
אל מקאסד,,,0
המרכזי בעמק,,78.33876037597656,11
