section,male,female,period
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 2, 'percentage': 0}",שנה
0-9,"{'amount': 7, 'percentage': 0.1}","{'amount': 5, 'percentage': 0}",מתחילת קורונה
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 2, 'percentage': 0.1}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 8, 'percentage': 0.1}",מתחילת קורונה
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.1}",6 חודשים
20-29,"{'amount': 5, 'percentage': 0.1}","{'amount': 9, 'percentage': 0.2}",שנה
20-29,"{'amount': 2, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.2}",6 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 24, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
30-39,"{'amount': 24, 'percentage': 0.5}","{'amount': 16, 'percentage': 0.3}",שנה
30-39,"{'amount': 53, 'percentage': 0.5}","{'amount': 39, 'percentage': 0.3}",מתחילת קורונה
30-39,"{'amount': 9, 'percentage': 0.3}","{'amount': 7, 'percentage': 0.3}",6 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.4}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
40-49,"{'amount': 3, 'percentage': 0.9}","{'amount': 2, 'percentage': 0.6}",חודש אחרון
40-49,"{'amount': 54, 'percentage': 1.1}","{'amount': 23, 'percentage': 0.5}",שנה
40-49,"{'amount': 124, 'percentage': 1.1}","{'amount': 78, 'percentage': 0.7}",מתחילת קורונה
40-49,"{'amount': 19, 'percentage': 0.7}","{'amount': 10, 'percentage': 0.4}",6 חודשים
40-49,"{'amount': 4, 'percentage': 0.8}","{'amount': 3, 'percentage': 0.6}",3 חודשים
50-59,"{'amount': 3, 'percentage': 0.9}","{'amount': 2, 'percentage': 0.6}",חודש אחרון
50-59,"{'amount': 11, 'percentage': 2.1}","{'amount': 3, 'percentage': 0.6}",3 חודשים
50-59,"{'amount': 393, 'percentage': 3.5}","{'amount': 201, 'percentage': 1.8}",מתחילת קורונה
50-59,"{'amount': 140, 'percentage': 2.9}","{'amount': 76, 'percentage': 1.6}",שנה
50-59,"{'amount': 62, 'percentage': 2.3}","{'amount': 33, 'percentage': 1.2}",6 חודשים
60-69,"{'amount': 19, 'percentage': 5.4}","{'amount': 4, 'percentage': 1.1}",חודש אחרון
60-69,"{'amount': 373, 'percentage': 7.8}","{'amount': 258, 'percentage': 5.4}",שנה
60-69,"{'amount': 169, 'percentage': 6.3}","{'amount': 98, 'percentage': 3.7}",6 חודשים
60-69,"{'amount': 1019, 'percentage': 9}","{'amount': 562, 'percentage': 5}",מתחילת קורונה
60-69,"{'amount': 26, 'percentage': 4.9}","{'amount': 10, 'percentage': 1.9}",3 חודשים
70-79,"{'amount': 73, 'percentage': 13.8}","{'amount': 53, 'percentage': 10}",3 חודשים
70-79,"{'amount': 1699, 'percentage': 15.1}","{'amount': 1078, 'percentage': 9.6}",מתחילת קורונה
70-79,"{'amount': 667, 'percentage': 13.9}","{'amount': 475, 'percentage': 9.9}",שנה
70-79,"{'amount': 363, 'percentage': 13.5}","{'amount': 250, 'percentage': 9.3}",6 חודשים
70-79,"{'amount': 46, 'percentage': 13.1}","{'amount': 30, 'percentage': 8.5}",חודש אחרון
80-89,"{'amount': 62, 'percentage': 17.7}","{'amount': 65, 'percentage': 18.5}",חודש אחרון
80-89,"{'amount': 854, 'percentage': 17.8}","{'amount': 825, 'percentage': 17.2}",שנה
80-89,"{'amount': 1978, 'percentage': 17.5}","{'amount': 1825, 'percentage': 16.2}",מתחילת קורונה
80-89,"{'amount': 519, 'percentage': 19.4}","{'amount': 483, 'percentage': 18}",6 חודשים
80-89,"{'amount': 86, 'percentage': 16.3}","{'amount': 97, 'percentage': 18.3}",3 חודשים
90+,"{'amount': 441, 'percentage': 9.2}","{'amount': 550, 'percentage': 11.4}",שנה
90+,"{'amount': 52, 'percentage': 14.8}","{'amount': 62, 'percentage': 17.7}",חודש אחרון
90+,"{'amount': 307, 'percentage': 11.5}","{'amount': 333, 'percentage': 12.4}",6 חודשים
90+,"{'amount': 932, 'percentage': 8.3}","{'amount': 1218, 'percentage': 10.8}",מתחילת קורונה
90+,"{'amount': 72, 'percentage': 13.6}","{'amount': 88, 'percentage': 16.6}",3 חודשים
