instituteDesc,occupancy,gOccupancy,occupancyDate
שמואל הרופא,5.6,71,2022-02-05T00:00:00.000Z
יוספטל,50,30.8,2022-02-05T00:00:00.000Z
רבין ק. השרון,52.6,54.4,2022-02-05T00:00:00.000Z
הכרמל,53.8,71.6,2022-02-05T00:00:00.000Z
בני ציון,54.5,68.1,2022-02-05T00:00:00.000Z
סורוקה,58.5,63.2,2022-02-05T00:00:00.000Z
וולפסון,59,70.3,2022-02-05T00:00:00.000Z
פוריה,59,66.2,2022-02-05T00:00:00.000Z
מאיר,62.5,81.6,2022-02-05T00:00:00.000Z
הדסה הר הצופים,63.9,78.8,2022-02-05T00:00:00.000Z
המרכזי בעמק,68.4,62.2,2022-02-05T00:00:00.000Z
שמיר,71,71.7,2022-02-05T00:00:00.000Z
שערי צדק,71.3,98.4,2022-02-05T00:00:00.000Z
"רמב""ם",72.2,76.6,2022-02-05T00:00:00.000Z
ברזילי,73.4,70.9,2022-02-05T00:00:00.000Z
זיו צפת,75,59.1,2022-02-05T00:00:00.000Z
רבין ק. בילינסון,77.5,82.2,2022-02-05T00:00:00.000Z
נהריה,78.4,77.4,2022-02-05T00:00:00.000Z
לניאדו,82.1,88.6,2022-02-05T00:00:00.000Z
שיבא,85.4,96.1,2022-02-05T00:00:00.000Z
קפלן,88,88,2022-02-05T00:00:00.000Z
הדסה עין כרם,97.1,87.7,2022-02-05T00:00:00.000Z
אסותא אשדוד,100,90.4,2022-02-05T00:00:00.000Z
