period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,1018406,319786,31.4
All,0-9,1650255,576160,34.91
3_Month,0-9,1126041,338072,30.02
6_Month,0-9,1391155,454368,32.66
1_Year,0-9,1506406,495658,32.9
1_Month,10-19,876933,363923,41.5
3_Month,10-19,1017427,386580,38
6_Month,10-19,1258547,471865,37.49
1_Year,10-19,1382273,508846,36.81
All,10-19,1557836,631625,40.55
6_Month,20-29,1022159,315896,30.9
1_Year,20-29,1165769,345017,29.6
All,20-29,1343447,449281,33.44
1_Month,20-29,612154,244843,40
3_Month,20-29,772265,257163,33.3
All,30-39,1235914,419409,33.94
1_Month,30-39,608868,249071,40.91
3_Month,30-39,752196,260932,34.69
6_Month,30-39,964782,320687,33.24
1_Year,30-39,1088957,345018,31.68
1_Month,40-49,559257,225254,40.28
All,40-49,1090778,366364,33.59
1_Year,40-49,960386,300065,31.24
6_Month,40-49,860556,280873,32.64
3_Month,40-49,689116,236192,34.27
All,50-59,822878,241310,29.33
1_Month,50-59,387996,145750,37.56
3_Month,50-59,497905,151870,30.5
6_Month,50-59,632842,176351,27.87
1_Year,50-59,711637,189108,26.57
1_Month,60-69,307787,95750,31.11
All,60-69,658681,158104,24
3_Month,60-69,394501,99703,25.27
6_Month,60-69,503249,114028,22.66
1_Year,60-69,566582,122545,21.63
3_Month,70-79,231862,50196,21.65
1_Year,70-79,344563,62423,18.12
All,70-79,404253,81084,20.06
1_Month,70-79,177971,48086,27.02
6_Month,70-79,301438,57705,19.14
All,80-89,174990,35354,20.2
1_Year,80-89,139557,25480,18.26
3_Month,80-89,90425,19394,21.45
1_Month,80-89,72795,18730,25.73
6_Month,80-89,117598,23103,19.65
1_Month,90+,19254,5051,26.23
All,90+,46570,10222,21.95
3_Month,90+,22999,5215,22.67
6_Month,90+,29056,6195,21.32
1_Year,90+,35264,6864,19.46
