gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,חודש אחרון,23442,9.1,0,0,7,1.5,12,0.9
זכר,0-9,שנה,337273,11.5,5,0.1,22,0.9,78,0.6
זכר,0-9,מתחילת קורונה,405547,10.8,7,0.1,30,0.5,104,0.4
זכר,0-9,3 חודשים,260668,10.8,4,0.2,16,1.4,48,0.8
זכר,0-9,6 חודשים,278601,11,4,0.1,19,1.2,58,0.8
נקבה,0-9,6 חודשים,209942,8.3,1,0,8,0.5,41,0.5
נקבה,0-9,שנה,260801,8.9,2,0,9,0.4,56,0.5
נקבה,0-9,מתחילת קורונה,316668,8.4,4,0,15,0.3,70,0.2
נקבה,0-9,חודש אחרון,17214,6.7,0,0,4,0.9,10,0.7
נקבה,0-9,3 חודשים,193453,8,1,0,8,0.7,33,0.6
זכר,10-19,חודש אחרון,21760,8.4,1,0.2,3,0.7,6,0.4
זכר,10-19,שנה,313469,10.7,5,0.1,12,0.5,39,0.3
זכר,10-19,מתחילת קורונה,409348,10.9,7,0.1,21,0.4,70,0.2
זכר,10-19,3 חודשים,256588,10.6,4,0.2,7,0.6,21,0.4
זכר,10-19,6 חודשים,269210,10.7,5,0.2,11,0.7,29,0.4
נקבה,10-19,מתחילת קורונה,382014,10.2,7,0.1,21,0.4,61,0.2
נקבה,10-19,3 חודשים,242714,10,2,0.1,9,0.8,13,0.2
נקבה,10-19,שנה,299362,10.2,4,0.1,15,0.6,30,0.2
נקבה,10-19,6 חודשים,256287,10.2,3,0.1,13,0.8,21,0.3
נקבה,10-19,חודש אחרון,20634,8,0,0,2,0.4,5,0.4
זכר,20-29,3 חודשים,130362,5.4,1,0,10,0.9,38,0.7
זכר,20-29,6 חודשים,134817,5.3,2,0.1,20,1.2,53,0.7
זכר,20-29,שנה,161161,5.5,7,0.2,29,1.2,97,0.8
זכר,20-29,מתחילת קורונה,232011,6.2,23,0.2,51,0.9,212,0.8
זכר,20-29,חודש אחרון,14003,5.4,0,0,3,0.7,8,0.6
נקבה,20-29,מתחילת קורונה,323004,8.6,22,0.2,55,0.9,246,0.9
נקבה,20-29,חודש אחרון,21366,8.3,0,0,1,0.2,3,0.2
נקבה,20-29,3 חודשים,200964,8.3,5,0.2,10,0.9,22,0.4
נקבה,20-29,6 חודשים,208355,8.3,7,0.3,16,1,54,0.7
נקבה,20-29,שנה,240760,8.2,9,0.2,22,0.9,100,0.8
זכר,30-39,6 חודשים,143546,5.7,13,0.5,33,2,107,1.4
זכר,30-39,מתחילת קורונה,221442,5.9,51,0.5,95,1.6,570,2
