city,diff,percentOfCityPopulation,sickCount,status,testsCount
ירושלים,2.306758397409955,0.5429133486242473,5056,,125516
בני ברק,2.3914238592633317,1.8550242522633789,3725,,52878
תל אביב - יפו,4.704301075268817,0.3413604902620237,1558,,60411
אשדוד,5.603985056039851,0.3757083298258362,848,בסגר חלקי,25061
בית שמש,2.228826151560178,0.5423899847058637,688,,12478
פתח תקווה,1.9748653500897668,0.2313334663772283,568,,29408
מודיעין עילית,3.136531365313653,0.7262475477777345,559,,10140
בת ים,4.372623574144487,0.42273693288569936,549,,18767
אלעד,1.9646365422396859,1.091528560612434,519,בסגר חלקי,8659
ביתר עילית,2.093023255813954,0.7121074487412407,439,,6207
באר שבע,2.097902097902098,0.22214558143309257,438,,29234
ראשון לציון,3.1476997578692503,0.1754530477759473,426,,25864
חולון,3.6175710594315245,0.2146221365874545,401,,22599
נתניה,1.971830985915493,0.16689949607417348,362,,19565
אשקלון,0.6230529595015576,0.2277583082423123,323,,16386
חיפה,1.582278481012658,0.11739965255554541,321,,26351
רהט,1.582278481012658,0.4796987312641033,321,בסגר חלקי,7282
רמת גן,2.884615384615385,0.21826044386422983,321,,19271
טבריה,3.6666666666666665,0.6920338228749444,311,בסגר חלקי,8212
ערערה-בנגב,0.3610108303249098,1.535487434410384,278,בסגר חלקי,3977
רחובות,6.756756756756757,0.1702023756517243,237,,16284
אור יהודה,1.339285714285714,0.6529931248741478,227,,5712
חורה,0,1.252609603340292,222,,2912
לוד,1.428571428571429,0.2792014576151215,213,בסגר חלקי,7388
רעננה,2.127659574468085,0.2553497094067109,192,,10350
רמלה,4.972375690607735,0.25089463745724894,190,,7821
קרית גת,3.278688524590164,0.3287528265785354,189,,6205
הרצליה,3.35195530726257,0.1994265140245349,185,,10315
מודיעין-מכבים-רעות,2.923976608187134,0.20095682853586969,176,,9195
דייר אל-אסד,0,1.214864221057647,153,,4984
נתיבות,2.097902097902098,0.379427739806128,146,,4235
דימונה,2.255639097744361,0.380717764962768,136,,5268
כפר סבא,2.362204724409449,0.1326774305484681,130,,11242
אום אל-פחם,0.78125,0.2295782167645488,129,,4734
צפת,0,0.3558817805210332,128,,4163
באקה אל-גרביה,2.542372881355932,0.4092815586524151,121,,3674
חדרה,5.76923076923077,0.11522668230956169,110,,13551
מגדל העמק,0,0.3919157765311611,102,,2886
נהריה,0,0.1638960430812456,98,,8456
ראש העין,10.3448275862069,0.1615617637159206,96,,6202
יבנה,3.296703296703297,0.2025294637278349,94,,4821
כפר קאסם,3.3707865168539333,0.3821550220154524,92,,2659
עפולה,2.272727272727273,0.1683659152558227,90,,4632
יהוד,0,0.3101736972704715,90,,3135
קרית מלאכי,1.162790697674419,0.3564989346008851,87,,1831
שדרות,1.162790697674419,0.3215790640940342,87,,4527
גבעתיים,4.938271604938271,0.1537793537648804,85,,6276
קרית אונו,1.234567901234568,0.21873666239863418,82,,4277
הוד השרון,5.263157894736842,0.1334712536287497,80,,5682
אילת,2.597402597402598,0.1396648044692738,79,,3923
אופקים,5.47945205479452,0.2418721532904036,77,,3533
רכסים,4.166666666666666,0.605229180116204,75,,1823
גבעת זאב,1.388888888888889,0.3838872528397139,73,,2506
כוכב יעקב,1.408450704225352,0.8056394763343404,72,,1015
טייבה,2.985074626865672,0.1569680149233359,69,,3558
מעלה אדומים,1.538461538461539,0.1760234697959728,66,,5298
גדרה,1.5625,0.2610022486347575,65,,4416
אפרת,1.5625,0.5700254319038849,65,,1725
רמת השרון,12.28070175438596,0.1411588257350184,64,,4418
גני תקווה,1.694915254237288,0.3009781790820165,60,,2530
כרמיאל,3.448275862068966,0.1290239339397458,60,,4485
באר יעקב,3.571428571428571,0.22435401516323691,58,,2518
גבעת שמואל,1.785714285714286,0.2272999162579256,57,,2857
שוהם,4,0.2595587501247879,52,,2700
קרית יערים,0,0.7975753708725475,50,,1233
ג'ת,0,0.4096346059315091,50,,1795
ג'סר א-זרקא,0,0.32738691788601587,49,,3272
אזור,0,0.3928123694107814,47,,1495
עכו,2.222222222222222,0.08982795992891875,46,,4869
בית שאן,6.976744186046512,0.23821853961677888,46,,1703
"כפר חב""ד",2.222222222222222,0.6691882455629911,46,,1199
נס ציונה,2.272727272727273,0.09818681678339988,45,,3685
קרית אתא,2.325581395348837,0.0762842629033097,44,,5090
גן יבנה,2.439024390243903,0.1865257361104943,42,,1880
בענה,2.5,0.4861852247124392,41,,2173
זכרון יעקב,0,0.18404632580688599,41,,1699
אבן יהודה,0,0.30052592036063114,40,,1609
טירה,2.564102564102564,0.1506024096385542,40,,2572
פרדס חנה-כרכור,8.333333333333332,0.0938831515851809,39,,5774
ערד,9.375,0.1297978861487113,35,,2078
כפר קרע,6.25,0.1775456919060052,34,,1692
דבוריה,0,0.3223971173904798,34,,1860
נוף הגליל,0,0.07693177961307841,34,,4067
כסיפה,0,0.1864090832062362,33,,955
טמרה,6.666666666666667,0.09320750320400792,32,,2064
נצרת,0,0.04074927733703473,32,,2890
