name,value
דיאטניות מאומתות,1
פרמדיקים,6
דיאטניות,21
עובדי מערך לוגיסטי,39
עובדי מעבדה,44
חובשי רפואת חירום,47
פסיכולוגים/ות,47
רוקחים,56
פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת,71
אנשי כוח עזר,88
סקטורים אחרים,104
עובדי מינהל ומשק,408
