section,female,male,period
0-9,"{'amount': 19588, 'percentage': 3.7}","{'amount': 21905, 'percentage': 4.1}",6 חודשים
0-9,"{'amount': 240168, 'percentage': 7.2}","{'amount': 301307, 'percentage': 9}",שנה
0-9,"{'amount': 520, 'percentage': 1.2}","{'amount': 542, 'percentage': 1.2}",חודש אחרון
0-9,"{'amount': 364773, 'percentage': 7.8}","{'amount': 442720, 'percentage': 9.4}",מתחילת קורונה
0-9,"{'amount': 1627, 'percentage': 1.7}","{'amount': 1428, 'percentage': 1.5}",3 חודשים
10-19,"{'amount': 22279, 'percentage': 4.2}","{'amount': 19960, 'percentage': 3.8}",6 חודשים
10-19,"{'amount': 2035, 'percentage': 4.6}","{'amount': 1405, 'percentage': 3.1}",חודש אחרון
10-19,"{'amount': 433865, 'percentage': 9.2}","{'amount': 441736, 'percentage': 9.4}",מתחילת קורונה
10-19,"{'amount': 293605, 'percentage': 8.8}","{'amount': 291841, 'percentage': 8.7}",שנה
10-19,"{'amount': 4210, 'percentage': 4.4}","{'amount': 2883, 'percentage': 3}",3 חודשים
20-29,"{'amount': 5866, 'percentage': 6.2}","{'amount': 3505, 'percentage': 3.7}",3 חודשים
20-29,"{'amount': 32838, 'percentage': 6.2}","{'amount': 23126, 'percentage': 4.4}",6 חודשים
20-29,"{'amount': 386771, 'percentage': 8.2}","{'amount': 272138, 'percentage': 5.8}",מתחילת קורונה
20-29,"{'amount': 264277, 'percentage': 7.9}","{'amount': 171808, 'percentage': 5.1}",שנה
20-29,"{'amount': 3070, 'percentage': 6.9}","{'amount': 1970, 'percentage': 4.4}",חודש אחרון
30-39,"{'amount': 39948, 'percentage': 7.5}","{'amount': 28780, 'percentage': 5.4}",6 חודשים
30-39,"{'amount': 290258, 'percentage': 8.7}","{'amount': 191359, 'percentage': 5.7}",שנה
30-39,"{'amount': 394310, 'percentage': 8.4}","{'amount': 273135, 'percentage': 5.8}",מתחילת קורונה
30-39,"{'amount': 6378, 'percentage': 6.7}","{'amount': 4303, 'percentage': 4.5}",3 חודשים
30-39,"{'amount': 3148, 'percentage': 7}","{'amount': 2197, 'percentage': 4.9}",חודש אחרון
40-49,"{'amount': 42336, 'percentage': 8}","{'amount': 28007, 'percentage': 5.3}",6 חודשים
40-49,"{'amount': 356653, 'percentage': 7.6}","{'amount': 247773, 'percentage': 5.3}",מתחילת קורונה
40-49,"{'amount': 272066, 'percentage': 8.1}","{'amount': 179974, 'percentage': 5.4}",שנה
40-49,"{'amount': 7775, 'percentage': 8.2}","{'amount': 4400, 'percentage': 4.6}",3 חודשים
40-49,"{'amount': 3848, 'percentage': 8.6}","{'amount': 2201, 'percentage': 4.9}",חודש אחרון
50-59,"{'amount': 41859, 'percentage': 7.9}","{'amount': 25973, 'percentage': 4.9}",6 חודשים
50-59,"{'amount': 197777, 'percentage': 5.9}","{'amount': 129531, 'percentage': 3.9}",שנה
50-59,"{'amount': 3935, 'percentage': 8.8}","{'amount': 2257, 'percentage': 5.1}",חודש אחרון
50-59,"{'amount': 253245, 'percentage': 5.4}","{'amount': 175472, 'percentage': 3.7}",מתחילת קורונה
50-59,"{'amount': 8224, 'percentage': 8.6}","{'amount': 4575, 'percentage': 4.8}",3 חודשים
60-69,"{'amount': 44337, 'percentage': 8.3}","{'amount': 30696, 'percentage': 5.8}",6 חודשים
60-69,"{'amount': 152963, 'percentage': 4.6}","{'amount': 107401, 'percentage': 3.2}",שנה
60-69,"{'amount': 187008, 'percentage': 4}","{'amount': 138267, 'percentage': 2.9}",מתחילת קורונה
60-69,"{'amount': 8878, 'percentage': 9.3}","{'amount': 5945, 'percentage': 6.2}",3 חודשים
60-69,"{'amount': 3928, 'percentage': 8.8}","{'amount': 2649, 'percentage': 5.9}",חודש אחרון
70-79,"{'amount': 38898, 'percentage': 7.3}","{'amount': 30555, 'percentage': 5.8}",6 חודשים
70-79,"{'amount': 3611, 'percentage': 8.1}","{'amount': 2820, 'percentage': 6.3}",חודש אחרון
70-79,"{'amount': 115403, 'percentage': 2.5}","{'amount': 94612, 'percentage': 2}",מתחילת קורונה
70-79,"{'amount': 97963, 'percentage': 2.9}","{'amount': 78848, 'percentage': 2.4}",שנה
70-79,"{'amount': 8724, 'percentage': 9.2}","{'amount': 6741, 'percentage': 7.1}",3 חודשים
80-89,"{'amount': 18462, 'percentage': 3.5}","{'amount': 13446, 'percentage': 2.5}",6 חודשים
80-89,"{'amount': 2034, 'percentage': 4.6}","{'amount': 1435, 'percentage': 3.2}",חודש אחרון
80-89,"{'amount': 51897, 'percentage': 1.1}","{'amount': 37825, 'percentage': 0.8}",מתחילת קורונה
80-89,"{'amount': 41968, 'percentage': 1.3}","{'amount': 30692, 'percentage': 0.9}",שנה
80-89,"{'amount': 4474, 'percentage': 4.7}","{'amount': 3160, 'percentage': 3.3}",3 חודשים
90+,"{'amount': 5362, 'percentage': 1}","{'amount': 2847, 'percentage': 0.5}",6 חודשים
90+,"{'amount': 691, 'percentage': 1.5}","{'amount': 386, 'percentage': 0.9}",חודש אחרון
90+,"{'amount': 15564, 'percentage': 0.3}","{'amount': 8196, 'percentage': 0.2}",מתחילת קורונה
90+,"{'amount': 11958, 'percentage': 0.4}","{'amount': 6446, 'percentage': 0.2}",שנה
90+,"{'amount': 1334, 'percentage': 1.4}","{'amount': 743, 'percentage': 0.8}",3 חודשים
