priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
month3,לבנון,כתום,2,48,0,0,2021-10-27T00:00:00.000Z
month3,ברבדוס,כתום,2,8,0,0,2021-10-27T00:00:00.000Z
month3,ליטא,כתום,2,3449,11,0.32,2021-10-27T00:00:00.000Z
month3,שוודיה,כתום,2,1703,5,0.29,2021-10-27T00:00:00.000Z
month3,בולגריה,כתום,2,13541,329,2.43,2021-10-27T00:00:00.000Z
month3,סין,צהוב,3,1525,0,0,2021-10-27T00:00:00.000Z
month3,דנמרק,כתום,2,3857,12,0.31,2021-10-27T00:00:00.000Z
month3,קובה,כתום,2,22,1,4.55,2021-10-27T00:00:00.000Z
month3,קטר,כתום,2,90,0,0,2021-10-27T00:00:00.000Z
month3,סודן,כתום,2,5,0,0,2021-10-27T00:00:00.000Z
month3,גינאה,כתום,2,14,0,0,2021-10-27T00:00:00.000Z
month3,סן מרינו,כתום,2,5,0,0,2021-10-27T00:00:00.000Z
month3,אוקראינה,כתום,2,68268,3800,5.57,2021-10-27T00:00:00.000Z
month3,גמייקה,כתום,2,23,1,4.35,2021-10-27T00:00:00.000Z
month3,תוניסיה,כתום,2,126,11,8.73,2021-10-27T00:00:00.000Z
month3,הודו,כתום,2,2402,10,0.42,2021-10-27T00:00:00.000Z
month3,ערב הסעודית,כתום,2,138,0,0,2021-10-27T00:00:00.000Z
month3,עומן,כתום,2,8,0,0,2021-10-27T00:00:00.000Z
month3,טנזניה,כתום,2,2844,36,1.27,2021-10-27T00:00:00.000Z
month3,פורטוגל,צהוב,3,6408,22,0.34,2021-10-27T00:00:00.000Z
month3,בליז,כתום,2,12,1,8.33,2021-10-27T00:00:00.000Z
month3,מלזיה,כתום,2,5,0,0,2021-10-27T00:00:00.000Z
month3,קוסטה ריקה,כתום,2,1839,32,1.74,2021-10-27T00:00:00.000Z
month3,אל סלבדור,כתום,2,29,0,0,2021-10-27T00:00:00.000Z
month3,הולנד,כתום,2,20270,100,0.49,2021-10-27T00:00:00.000Z
month3,ניו זילנד,צהוב,3,61,1,1.64,2021-10-27T00:00:00.000Z
month3,נפאל,כתום,2,131,1,0.76,2021-10-27T00:00:00.000Z
month3,גרנדה,כתום,2,23,0,0,2021-10-27T00:00:00.000Z
month3,זמביה,כתום,2,133,0,0,2021-10-27T00:00:00.000Z
month3,מולדובה,כתום,2,8159,186,2.28,2021-10-27T00:00:00.000Z
month3,מרטיניק,כתום,2,2,0,0,2021-10-27T00:00:00.000Z
month3,איי פאלקלנד,כתום,2,1,0,0,2021-10-27T00:00:00.000Z
month3,ונצואלה,כתום,2,125,2,1.6,2021-10-27T00:00:00.000Z
month3,פנמה,כתום,2,1001,14,1.4,2021-10-27T00:00:00.000Z
month3,רומניה,כתום,2,29420,341,1.16,2021-10-27T00:00:00.000Z
month3,שוויץ,כתום,2,28618,152,0.53,2021-10-27T00:00:00.000Z
month3,איסלנד,כתום,2,5361,42,0.78,2021-10-27T00:00:00.000Z
month3,קנדה,כתום,2,13997,29,0.21,2021-10-27T00:00:00.000Z
month3,דרום אפריקה,כתום,2,1895,6,0.32,2021-10-27T00:00:00.000Z
month3,קניה,כתום,2,682,10,1.47,2021-10-27T00:00:00.000Z
month3,גיבוטי,כתום,2,1,0,0,2021-10-27T00:00:00.000Z
month3,צאד,כתום,2,7,0,0,2021-10-27T00:00:00.000Z
month3,ונואטו,כתום,2,1,0,0,2021-10-27T00:00:00.000Z
month3,ירדן,כתום,2,22888,163,0.71,2021-10-27T00:00:00.000Z
month3,ויטנאם,כתום,2,325,0,0,2021-10-27T00:00:00.000Z
month3,בלגיה,כתום,2,8508,49,0.58,2021-10-27T00:00:00.000Z
month3,סוריה,כתום,2,112,0,0,2021-10-27T00:00:00.000Z
month3,אירן,כתום,2,3,0,0,2021-10-27T00:00:00.000Z
month3,מלדיבים,כתום,2,3470,16,0.46,2021-10-27T00:00:00.000Z
month3,מוזמביק,כתום,2,54,0,0,2021-10-27T00:00:00.000Z
month3,לאוס,כתום,2,3,0,0,2021-10-27T00:00:00.000Z
month3,חוף השנהב,כתום,2,121,3,2.48,2021-10-27T00:00:00.000Z
month3,ניקרגואה,כתום,2,31,0,0,2021-10-27T00:00:00.000Z
month3,אקואדור,כתום,2,248,2,0.81,2021-10-27T00:00:00.000Z
