name,coronaOccupancy,normalOccupancy,isolatedTeam
אוגוסטה ויקטוריה,,,4
שערי צדק,,86.48648834228516,106
אסותא אשדוד,,,46
בני ציון,,71.82447814941406,56
ברזילי,,63.83333206176758,89
הדסה עין כרם,,96.7611312866211,105
הכרמל,,58.28220748901367,35
הלל יפה,,64.27184295654297,49
המרכזי בעמק,,72.24137878417969,151
המשפחה הקדושה,,,0
הסקוטי,,104.2553176879883,10
השרון ק. גולדה,,51.03734588623047,16
וולפסון,,61.78623580932617,31
זיו צפת,,68.87608337402344,40
לניאדו,,79.3871841430664,37
אל מקאסד,,,0
מעייני הישועה,,92.01277923583984,40
נהריה,,75.93360900878906,116
סוראסקי,,91.0333023071289,140
סורוקה,,64.63944244384766,68
סנט ג'וזף,,,8
סנט וינסנט,,58.95522308349609,15
פוריה,,58.02816772460938,29
קפלן,,99.63899230957031,64
רבין ק. בילינסון,,74.61077880859375,108
"רמב""ם",,75.67010498046875,89
שיבא,,81.582275390625,91
שמיר (אסף הרופא),,62.73849487304688,103
שניידר,,,0
מאיר,,76.4781494140625,67
