section,female,male,period,order_period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 4, 'percentage': 0.7}",חודש אחרון,5
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 7, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 2, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.4}",6 חודשים,3
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 9, 'percentage': 0.2}","{'amount': 11, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 12, 'percentage': 0.3}","{'amount': 16, 'percentage': 0.4}",מתחילת קורונה,1
10-19,"{'amount': 3, 'percentage': 0.6}","{'amount': 4, 'percentage': 0.7}",חודש אחרון,5
10-19,"{'amount': 3, 'percentage': 0.4}","{'amount': 5, 'percentage': 0.6}",3 חודשים,4
10-19,"{'amount': 5, 'percentage': 0.5}","{'amount': 5, 'percentage': 0.5}",6 חודשים,3
10-19,"{'amount': 9, 'percentage': 0.3}","{'amount': 13, 'percentage': 0.4}",שנה,2
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 12, 'percentage': 1.1}",6 חודשים,3
20-29,"{'amount': 8, 'percentage': 0.9}","{'amount': 8, 'percentage': 0.9}",3 חודשים,4
20-29,"{'amount': 5, 'percentage': 0.9}","{'amount': 6, 'percentage': 1.1}",חודש אחרון,5
20-29,"{'amount': 45, 'percentage': 1}","{'amount': 39, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 34, 'percentage': 1}","{'amount': 36, 'percentage': 1}",שנה,2
30-39,"{'amount': 68, 'percentage': 1.9}","{'amount': 53, 'percentage': 1.5}",שנה,2
30-39,"{'amount': 30, 'percentage': 2.8}","{'amount': 20, 'percentage': 1.9}",6 חודשים,3
30-39,"{'amount': 18, 'percentage': 2.1}","{'amount': 16, 'percentage': 1.9}",3 חודשים,4
30-39,"{'amount': 14, 'percentage': 2.6}","{'amount': 12, 'percentage': 2.2}",חודש אחרון,5
30-39,"{'amount': 83, 'percentage': 1.8}","{'amount': 74, 'percentage': 1.6}",מתחילת קורונה,1
40-49,"{'amount': 91, 'percentage': 2.6}","{'amount': 168, 'percentage': 4.7}",שנה,2
40-49,"{'amount': 33, 'percentage': 3.1}","{'amount': 72, 'percentage': 6.7}",6 חודשים,3
40-49,"{'amount': 27, 'percentage': 3.2}","{'amount': 54, 'percentage': 6.3}",3 חודשים,4
40-49,"{'amount': 21, 'percentage': 3.9}","{'amount': 42, 'percentage': 7.7}",חודש אחרון,5
40-49,"{'amount': 111, 'percentage': 2.4}","{'amount': 207, 'percentage': 4.5}",מתחילת קורונה,1
50-59,"{'amount': 70, 'percentage': 6.5}","{'amount': 113, 'percentage': 10.5}",6 חודשים,3
50-59,"{'amount': 47, 'percentage': 5.5}","{'amount': 73, 'percentage': 8.6}",3 חודשים,4
50-59,"{'amount': 163, 'percentage': 4.6}","{'amount': 348, 'percentage': 9.8}",שנה,2
50-59,"{'amount': 193, 'percentage': 4.2}","{'amount': 431, 'percentage': 9.5}",מתחילת קורונה,1
50-59,"{'amount': 33, 'percentage': 6.1}","{'amount': 61, 'percentage': 11.2}",חודש אחרון,5
60-69,"{'amount': 93, 'percentage': 10.9}","{'amount': 115, 'percentage': 13.5}",3 חודשים,4
60-69,"{'amount': 117, 'percentage': 10.8}","{'amount': 136, 'percentage': 12.6}",6 חודשים,3
60-69,"{'amount': 59, 'percentage': 10.8}","{'amount': 76, 'percentage': 13.9}",חודש אחרון,5
60-69,"{'amount': 373, 'percentage': 8.2}","{'amount': 740, 'percentage': 16.3}",מתחילת קורונה,1
60-69,"{'amount': 308, 'percentage': 8.7}","{'amount': 565, 'percentage': 15.9}",שנה,2
70-79,"{'amount': 55, 'percentage': 10.1}","{'amount': 73, 'percentage': 13.4}",חודש אחרון,5
70-79,"{'amount': 78, 'percentage': 9.1}","{'amount': 131, 'percentage': 15.4}",3 חודשים,4
70-79,"{'amount': 101, 'percentage': 9.4}","{'amount': 147, 'percentage': 13.6}",6 חודשים,3
70-79,"{'amount': 342, 'percentage': 9.6}","{'amount': 603, 'percentage': 17}",שנה,2
70-79,"{'amount': 424, 'percentage': 9.3}","{'amount': 802, 'percentage': 17.6}",מתחילת קורונה,1
80-89,"{'amount': 69, 'percentage': 8.1}","{'amount': 75, 'percentage': 8.8}",3 חודשים,4
80-89,"{'amount': 257, 'percentage': 7.2}","{'amount': 346, 'percentage': 9.8}",שנה,2
80-89,"{'amount': 76, 'percentage': 7}","{'amount': 92, 'percentage': 8.5}",6 חודשים,3
80-89,"{'amount': 29, 'percentage': 5.3}","{'amount': 35, 'percentage': 6.4}",חודש אחרון,5
80-89,"{'amount': 334, 'percentage': 7.3}","{'amount': 468, 'percentage': 10.3}",מתחילת קורונה,1
90+,"{'amount': 87, 'percentage': 1.9}","{'amount': 94, 'percentage': 2.1}",מתחילת קורונה,1
90+,"{'amount': 7, 'percentage': 1.3}","{'amount': 6, 'percentage': 1.1}",חודש אחרון,5
90+,"{'amount': 14, 'percentage': 1.6}","{'amount': 14, 'percentage': 1.6}",3 חודשים,4
90+,"{'amount': 17, 'percentage': 1.6}","{'amount': 17, 'percentage': 1.6}",6 חודשים,3
90+,"{'amount': 64, 'percentage': 1.8}","{'amount': 66, 'percentage': 1.9}",שנה,2
