age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,98761,12454,1505185,6.6,0.8
20-29,271733,85819,1277634,21.3,6.7
30-39,309981,114856,1186386,26.1,9.7
40-49,522560,179838,1080768,48.4,16.6
50-59,522028,245404,832687,62.7,29.5
60-69,548824,432450,735380,74.6,58.8
70-79,423847,358172,462148,91.7,77.5
80-89,188657,156912,222547,84.8,70.5
90+,44253,36575,50589,87.5,72.3
