age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,202756,71661,343671,283,646,4248,139.6,901.5,1236.1,0,0,1,0,0,0.3
16-19,435218,32956,115371,2506,155,1515,575.8,470.3,1313.2,0,0,1,0,0,0.9
20-29,996298,45652,258411,8505,271,2924,853.7,593.6,1131.5,1,1,13,0.1,2.2,5
30-39,973079,37023,186924,8371,197,2594,860.3,532.1,1387.7,4,0,21,0.4,0,11.2
40-49,931144,28481,138931,7267,123,1738,780.4,431.9,1251,12,0,53,1.3,0,38.1
50-59,751042,18663,80261,4813,87,1044,640.8,466.2,1300.8,37,1,45,4.9,5.4,56.1
60-69,667821,10975,62843,2548,52,659,381.5,473.8,1048.6,74,4,83,11.1,36.4,132.1
70-79,465658,5967,19159,1462,20,390,314,335.2,2035.6,78,5,75,16.8,83.8,391.5
80-89,209514,3983,12041,939,20,198,448.2,502.1,1644.4,92,3,43,43.9,75.3,357.1
90+,46732,1795,2969,296,12,73,633.4,668.5,2458.7,23,1,18,49.2,55.7,606.3
