age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,234,1992,0,74.1,770.4,0,0,2,0,0,0.8
16-19,42,776,955,26.9,282.1,735,0,0,1,0,0,0.8
20-29,144,2128,1776,32,367.9,761.4,1,2,11,0.2,0.3,4.7
30-39,267,2004,1791,53,409,1071,0,0,23,0,0,13.8
40-49,284,1353,1219,48.2,377.4,948.3,1,4,60,0.2,1.1,46.7
50-59,183,654,719,34,288.4,812.4,4,14,79,0.7,6.2,89.3
60-69,188,374,427,34.5,291.3,686.2,10,19,74,1.8,14.8,118.9
70-79,154,187,264,37.4,279.9,613.8,10,19,59,2.4,28.4,137.2
80-89,106,119,160,59.3,337,768,4,11,18,2.2,31.1,86.4
90+,38,25,40,104.2,203.2,496.4,0,1,12,0,8.1,148.9
