coronaOccupancy,isolatedTeam,name,normalOccupancy
107.5,61,ברזילי,78.16666412353516
100,27,שערי צדק,99.87715148925781
98.36065573770492,84,נהריה,74.41217041015625
93.93939393939394,124,"רמב""ם",91.03092956542969
90,109,הדסה עין כרם,119.5681533813477
88.88888888888889,29,מעייני הישועה,93.29073333740234
78.33333333333333,47,שיבא,101.0126571655273
75,57,הלל יפה,90.87378692626953
75,7,הסקוטי,95.74468231201172
70.58823529411765,31,וולפסון,65.00732421875
69.04761904761905,80,לניאדו,88.85794067382812
67.5,56,רבין ק. בילינסון,93.41316986083984
66.66666666666666,15,אסותא אשדוד,
62.5,27,שניידר,91.98312377929688
59.64912280701754,49,מאיר,78.7917709350586
56.52173913043478,30,בני ציון,84.98844909667969
56.00000000000001,36,קפלן,94.76534271240234
55.73770491803278,25,שמיר (אסף הרופא),64.75869750976562
54.54545454545454,17,המשפחה הקדושה,146.6666717529297
54.054054054054056,0,סנט ג'וזף,
52.85714285714286,54,סוראסקי,105.2946166992188
52.5,47,פוריה,67.32394409179688
50,29,זיו צפת,76.0806884765625
49.38271604938271,65,המרכזי בעמק,78.79310607910156
47.82608695652174,0,אל מקאסד,
46.42857142857143,123,הכרמל,68.30265808105469
36.84210526315789,7,השרון ק. גולדה,50.62240600585938
30.76923076923077,44,סורוקה,81.92875671386719
12.5,13,סנט וינסנט,51.49253845214844
0,0,אוגוסטה ויקטוריה,
