age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,148744,18531,1505185,9.9,1.2
20-29,383810,116907,1277634,30,9.2
30-39,453065,160741,1186386,38.2,13.5
40-49,620782,256801,1080768,57.4,23.8
50-59,569541,357851,832687,68.4,43
60-69,568065,490670,735380,77.2,66.7
70-79,433930,392549,462148,93.9,84.9
80-89,193652,173197,222547,87,77.8
90+,45523,39969,50589,90,79
