instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,60.5,76.3,2022-04-03T00:00:00.000Z
סורוקה,67.4,74.3,2022-04-03T00:00:00.000Z
זיו צפת,71.9,74.9,2022-04-03T00:00:00.000Z
הכרמל,78.3,85.5,2022-04-03T00:00:00.000Z
מאיר,82,83.7,2022-04-03T00:00:00.000Z
הדסה הר הצופים,91.7,77.8,2022-04-03T00:00:00.000Z
שמיר,97.7,74.5,2022-04-03T00:00:00.000Z
וולפסון,97.5,85.4,2022-04-03T00:00:00.000Z
הלל יפה,97.3,85,2022-04-03T00:00:00.000Z
קפלן,101.3,94.5,2022-04-03T00:00:00.000Z
פוריה,102.6,89,2022-04-03T00:00:00.000Z
ברזילי,106.3,91.2,2022-04-03T00:00:00.000Z
המרכזי בעמק,106.5,72.3,2022-04-03T00:00:00.000Z
"רמב""ם",108.1,88.6,2022-04-03T00:00:00.000Z
בני ציון,108.3,98.8,2022-04-03T00:00:00.000Z
נהריה,112.6,95.3,2022-04-03T00:00:00.000Z
מ.גריאטרי פרדס חנה,,40.6,2022-04-03T00:00:00.000Z
יוספטל,112.5,95.4,2022-04-03T00:00:00.000Z
רבין ק. בילינסון,114.1,93.3,2022-04-03T00:00:00.000Z
הדסה עין כרם,125.2,88.5,2022-04-03T00:00:00.000Z
לניאדו,126.9,116.2,2022-04-03T00:00:00.000Z
אסותא אשדוד,133.9,107.5,2022-04-03T00:00:00.000Z
המשפחה הקדושה,172.4,118.1,2022-04-03T00:00:00.000Z
