section,female,male,period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",שנה
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 4, 'percentage': 0.2}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 4, 'percentage': 0.2}",3 חודשים
0-9,"{'amount': 4, 'percentage': 0}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 9, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.1}",שנה
20-29,"{'amount': 7, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.1}",6 חודשים
20-29,"{'amount': 5, 'percentage': 0.2}","{'amount': 1, 'percentage': 0}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 23, 'percentage': 0.2}",מתחילת קורונה
30-39,"{'amount': 16, 'percentage': 0.4}","{'amount': 24, 'percentage': 0.6}",שנה
30-39,"{'amount': 5, 'percentage': 0.2}","{'amount': 14, 'percentage': 0.5}",6 חודשים
30-39,"{'amount': 4, 'percentage': 0.2}","{'amount': 10, 'percentage': 0.4}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 3, 'percentage': 1.2}",חודש אחרון
30-39,"{'amount': 36, 'percentage': 0.3}","{'amount': 52, 'percentage': 0.5}",מתחילת קורונה
40-49,"{'amount': 26, 'percentage': 0.6}","{'amount': 55, 'percentage': 1.3}",שנה
40-49,"{'amount': 14, 'percentage': 0.5}","{'amount': 30, 'percentage': 1.1}",6 חודשים
40-49,"{'amount': 10, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.6}",3 חודשים
40-49,"{'amount': 1, 'percentage': 0.4}","{'amount': 3, 'percentage': 1.2}",חודש אחרון
40-49,"{'amount': 75, 'percentage': 0.7}","{'amount': 118, 'percentage': 1.1}",מתחילת קורונה
50-59,"{'amount': 4, 'percentage': 1.7}","{'amount': 7, 'percentage': 2.9}",חודש אחרון
50-59,"{'amount': 83, 'percentage': 1.9}","{'amount': 148, 'percentage': 3.4}",שנה
50-59,"{'amount': 35, 'percentage': 1.5}","{'amount': 52, 'percentage': 2.3}",3 חודשים
50-59,"{'amount': 196, 'percentage': 1.9}","{'amount': 375, 'percentage': 3.6}",מתחילת קורונה
50-59,"{'amount': 46, 'percentage': 1.7}","{'amount': 80, 'percentage': 3}",6 חודשים
60-69,"{'amount': 254, 'percentage': 5.9}","{'amount': 363, 'percentage': 8.5}",שנה
60-69,"{'amount': 129, 'percentage': 4.9}","{'amount': 212, 'percentage': 8}",6 חודשים
60-69,"{'amount': 88, 'percentage': 3.9}","{'amount': 158, 'percentage': 7}",3 חודשים
60-69,"{'amount': 11, 'percentage': 4.5}","{'amount': 30, 'percentage': 12.4}",חודש אחרון
60-69,"{'amount': 539, 'percentage': 5.1}","{'amount': 984, 'percentage': 9.4}",מתחילת קורונה
70-79,"{'amount': 27, 'percentage': 11.2}","{'amount': 38, 'percentage': 15.7}",חודש אחרון
70-79,"{'amount': 213, 'percentage': 9.4}","{'amount': 303, 'percentage': 13.4}",3 חודשים
70-79,"{'amount': 1008, 'percentage': 9.6}","{'amount': 1599, 'percentage': 15.2}",מתחילת קורונה
70-79,"{'amount': 269, 'percentage': 10.1}","{'amount': 354, 'percentage': 13.3}",6 חודשים
70-79,"{'amount': 436, 'percentage': 10.2}","{'amount': 588, 'percentage': 13.7}",שנה
80-89,"{'amount': 34, 'percentage': 14}","{'amount': 41, 'percentage': 16.9}",חודש אחרון
80-89,"{'amount': 726, 'percentage': 16.9}","{'amount': 759, 'percentage': 17.7}",שנה
80-89,"{'amount': 467, 'percentage': 17.6}","{'amount': 473, 'percentage': 17.8}",6 חודשים
80-89,"{'amount': 423, 'percentage': 18.7}","{'amount': 438, 'percentage': 19.4}",3 חודשים
80-89,"{'amount': 1696, 'percentage': 16.1}","{'amount': 1847, 'percentage': 17.6}",מתחילת קורונה
90+,"{'amount': 441, 'percentage': 10.3}","{'amount': 345, 'percentage': 8}",שנה
90+,"{'amount': 291, 'percentage': 11}","{'amount': 248, 'percentage': 9.3}",6 חודשים
90+,"{'amount': 262, 'percentage': 11.6}","{'amount': 236, 'percentage': 10.4}",3 חודשים
90+,"{'amount': 23, 'percentage': 9.5}","{'amount': 20, 'percentage': 8.3}",חודש אחרון
90+,"{'amount': 1098, 'percentage': 10.4}","{'amount': 828, 'percentage': 7.9}",מתחילת קורונה
