gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,מתחילת קורונה,306476,10.5,5,0.1,17,0.3,81,0.3
זכר,0-9,6 חודשים,232669,11.4,3,0.1,9,0.6,49,0.6
זכר,0-9,חודש אחרון,160998,10.4,2,0.3,4,0.8,23,0.8
זכר,0-9,שנה,260912,11.4,3,0.1,11,0.4,62,0.5
זכר,0-9,3 חודשים,168018,10.5,2,0.3,5,0.8,23,0.7
נקבה,0-9,6 חודשים,181229,8.9,1,0,4,0.3,26,0.3
נקבה,0-9,3 חודשים,123410,7.7,1,0.1,4,0.6,13,0.4
נקבה,0-9,מתחילת קורונה,243670,8.3,4,0,12,0.2,46,0.2
נקבה,0-9,שנה,205259,9,3,0.1,10,0.4,38,0.3
נקבה,0-9,חודש אחרון,116073,7.5,1,0.2,4,0.8,10,0.4
זכר,10-19,מתחילת קורונה,327233,11.2,4,0,19,0.4,60,0.2
זכר,10-19,6 חודשים,225068,11,2,0.1,9,0.6,28,0.4
זכר,10-19,3 חודשים,178365,11.1,1,0.1,3,0.5,15,0.5
זכר,10-19,חודש אחרון,171429,11.1,1,0.2,3,0.6,12,0.4
זכר,10-19,שנה,251796,11,2,0,10,0.4,39,0.3
נקבה,10-19,3 חודשים,168611,10.5,0,0,7,1.1,9,0.3
נקבה,10-19,חודש אחרון,160010,10.3,0,0,6,1.2,7,0.3
נקבה,10-19,שנה,241392,10.6,1,0,14,0.5,40,0.3
נקבה,10-19,מתחילת קורונה,304259,10.4,4,0,19,0.4,60,0.2
נקבה,10-19,6 חודשים,215670,10.6,1,0,11,0.7,24,0.3
זכר,20-29,חודש אחרון,90581,5.9,0,0,4,0.8,20,0.7
זכר,20-29,מתחילת קורונה,193940,6.6,23,0.3,46,0.9,203,0.8
זכר,20-29,שנה,137258,6,16,0.4,38,1.4,142,1.1
זכר,20-29,6 חודשים,119893,5.9,4,0.2,17,1.2,68,0.9
זכר,20-29,3 חודשים,93322,5.8,1,0.1,6,0.9,23,0.7
נקבה,20-29,מתחילת קורונה,261377,8.9,16,0.2,54,1,243,1
נקבה,20-29,3 חודשים,140940,8.8,0,0,10,1.5,21,0.7
נקבה,20-29,חודש אחרון,136445,8.8,0,0,7,1.4,15,0.5
נקבה,20-29,6 חודשים,175566,8.6,3,0.1,15,1,82,1
נקבה,20-29,שנה,198389,8.7,7,0.2,30,1.1,155,1.2
זכר,30-39,6 חודשים,116601,5.7,15,0.6,29,2,176,2.2
זכר,30-39,3 חודשים,90903,5.7,4,0.5,13,2,34,1.1
