name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,99.17721557617188,471
שניידר,,,0
שמיר,,75.4208755493164,168
וולפסון,,75.5490493774414,118
זיו צפת,,80.97982788085938,153
הלל יפה,,,50
נהריה,,,0
ברזילי,,79.6357650756836,128
פוריה,,76.05633544921875,83
סוראסקי,,118.7019653320313,302
בני ציון,,81.75519561767578,93
רבין ק. בילינסון,,90.34564971923828,221
סורוקה,,75.44757080078125,343
מאיר,,87.01799774169922,304
קפלן,,86.04240417480469,57
המרכזי בעמק,,76.54723358154297,204
"רמב""ם",,92.93032836914062,269
רבין ק. השרון,,75.93360900878906,83
יוספטל,,,0
הדסה עין כרם,,99.0740737915039,781
הדסה הר הצופים,,91.66666412353516,184
הסקוטי,,,71
סנט וינסנט,,,0
המשפחה הקדושה,,,0
סנט ג'וזף,,,16
שערי צדק,,100.8505477905273,66
אל מקאסד,,,0
לניאדו,,,0
אוגוסטה ויקטוריה,,,0
מעייני הישועה,,,0
אסותא אשדוד,,,46
הכרמל,,80.98159790039062,133
