instituteDesc,occupancy,gOccupancy,occupancyDate
פוריה,48.7,70.7,2022-01-31T00:00:00.000Z
הדסה הר הצופים,50,83.3,2022-01-31T00:00:00.000Z
רבין ק. השרון,50,67.6,2022-01-31T00:00:00.000Z
הכרמל,50,78.5,2022-01-31T00:00:00.000Z
בני ציון,58.7,81.8,2022-01-31T00:00:00.000Z
סורוקה,60.9,73.3,2022-01-31T00:00:00.000Z
וולפסון,60.7,85.8,2022-01-31T00:00:00.000Z
יוספטל,62.5,43.1,2022-01-31T00:00:00.000Z
שערי צדק,70.7,99,2022-01-31T00:00:00.000Z
לניאדו,70.5,83.6,2022-01-31T00:00:00.000Z
"רמב""ם",71.2,84,2022-01-31T00:00:00.000Z
מאיר,71,84.2,2022-01-31T00:00:00.000Z
קפלן,72,86.6,2022-01-31T00:00:00.000Z
ברזילי,74,76.8,2022-01-31T00:00:00.000Z
רבין ק. בילינסון,75.3,87.8,2022-01-31T00:00:00.000Z
נהריה,76.8,81.2,2022-01-31T00:00:00.000Z
שמיר,76.1,82.7,2022-01-31T00:00:00.000Z
המרכזי בעמק,77.4,69.4,2022-01-31T00:00:00.000Z
מ.גריאטרי פרדס חנה,,39.2,2022-01-31T00:00:00.000Z
שיבא,87,102.8,2022-01-31T00:00:00.000Z
אסותא אשדוד,88.1,105.1,2022-01-31T00:00:00.000Z
זיו צפת,90.6,76.4,2022-01-31T00:00:00.000Z
הדסה עין כרם,92.2,92.1,2022-01-31T00:00:00.000Z
