section,female,male,period
0-9,"{'amount': 8, 'percentage': 0.4}","{'amount': 8, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 58, 'percentage': 0.4}","{'amount': 83, 'percentage': 0.6}",שנה
0-9,"{'amount': 38, 'percentage': 0.5}","{'amount': 56, 'percentage': 0.7}",6 חודשים
0-9,"{'amount': 5, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",חודש אחרון
0-9,"{'amount': 77, 'percentage': 0.3}","{'amount': 115, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 5, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 37, 'percentage': 0.3}","{'amount': 42, 'percentage': 0.3}",שנה
10-19,"{'amount': 17, 'percentage': 0.2}","{'amount': 23, 'percentage': 0.3}",6 חודשים
10-19,"{'amount': 3, 'percentage': 0.2}","{'amount': 1, 'percentage': 0.1}",חודש אחרון
10-19,"{'amount': 81, 'percentage': 0.3}","{'amount': 78, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 103, 'percentage': 0.8}","{'amount': 92, 'percentage': 0.7}",שנה
20-29,"{'amount': 9, 'percentage': 0.5}","{'amount': 6, 'percentage': 0.3}",3 חודשים
20-29,"{'amount': 26, 'percentage': 0.3}","{'amount': 39, 'percentage': 0.5}",6 חודשים
20-29,"{'amount': 8, 'percentage': 0.6}","{'amount': 2, 'percentage': 0.2}",חודש אחרון
20-29,"{'amount': 278, 'percentage': 0.9}","{'amount': 244, 'percentage': 0.8}",מתחילת קורונה
30-39,"{'amount': 11, 'percentage': 0.6}","{'amount': 14, 'percentage': 0.7}",3 חודשים
30-39,"{'amount': 3, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.7}",חודש אחרון
30-39,"{'amount': 223, 'percentage': 1.7}","{'amount': 225, 'percentage': 1.7}",שנה
30-39,"{'amount': 64, 'percentage': 0.8}","{'amount': 66, 'percentage': 0.8}",6 חודשים
30-39,"{'amount': 597, 'percentage': 2}","{'amount': 634, 'percentage': 2.1}",מתחילת קורונה
40-49,"{'amount': 339, 'percentage': 2.5}","{'amount': 478, 'percentage': 3.6}",שנה
40-49,"{'amount': 14, 'percentage': 0.7}","{'amount': 28, 'percentage': 1.4}",3 חודשים
40-49,"{'amount': 86, 'percentage': 1.1}","{'amount': 143, 'percentage': 1.8}",6 חודשים
40-49,"{'amount': 8, 'percentage': 0.6}","{'amount': 17, 'percentage': 1.4}",חודש אחרון
40-49,"{'amount': 972, 'percentage': 3.2}","{'amount': 1417, 'percentage': 4.7}",מתחילת קורונה
50-59,"{'amount': 43, 'percentage': 2.2}","{'amount': 50, 'percentage': 2.5}",3 חודשים
50-59,"{'amount': 25, 'percentage': 2}","{'amount': 29, 'percentage': 2.3}",חודש אחרון
50-59,"{'amount': 550, 'percentage': 4.1}","{'amount': 735, 'percentage': 5.5}",שנה
50-59,"{'amount': 213, 'percentage': 2.7}","{'amount': 314, 'percentage': 4}",6 חודשים
50-59,"{'amount': 1593, 'percentage': 5.3}","{'amount': 2255, 'percentage': 7.5}",מתחילת קורונה
60-69,"{'amount': 102, 'percentage': 5.2}","{'amount': 159, 'percentage': 8.1}",3 חודשים
60-69,"{'amount': 934, 'percentage': 7}","{'amount': 1274, 'percentage': 9.5}",שנה
60-69,"{'amount': 468, 'percentage': 6}","{'amount': 676, 'percentage': 8.7}",6 חודשים
60-69,"{'amount': 62, 'percentage': 5}","{'amount': 101, 'percentage': 8.1}",חודש אחרון
60-69,"{'amount': 2275, 'percentage': 7.5}","{'amount': 3370, 'percentage': 11.2}",מתחילת קורונה
70-79,"{'amount': 208, 'percentage': 10.6}","{'amount': 288, 'percentage': 14.7}",3 חודשים
70-79,"{'amount': 139, 'percentage': 11.1}","{'amount': 178, 'percentage': 14.3}",חודש אחרון
70-79,"{'amount': 1348, 'percentage': 10.1}","{'amount': 1733, 'percentage': 13}",שנה
70-79,"{'amount': 826, 'percentage': 10.6}","{'amount': 1111, 'percentage': 14.2}",6 חודשים
70-79,"{'amount': 2916, 'percentage': 9.7}","{'amount': 3852, 'percentage': 12.8}",מתחילת קורונה
80-89,"{'amount': 311, 'percentage': 15.8}","{'amount': 301, 'percentage': 15.3}",3 חודשים
80-89,"{'amount': 1235, 'percentage': 15.8}","{'amount': 1195, 'percentage': 15.3}",6 חודשים
80-89,"{'amount': 1777, 'percentage': 13.3}","{'amount': 1727, 'percentage': 12.9}",שנה
80-89,"{'amount': 202, 'percentage': 16.2}","{'amount': 206, 'percentage': 16.5}",חודש אחרון
80-89,"{'amount': 3353, 'percentage': 11.1}","{'amount': 3251, 'percentage': 10.8}",מתחילת קורונה
90+,"{'amount': 231, 'percentage': 11.8}","{'amount': 165, 'percentage': 8.4}",3 חודשים
90+,"{'amount': 953, 'percentage': 7.1}","{'amount': 650, 'percentage': 4.9}",שנה
90+,"{'amount': 693, 'percentage': 8.9}","{'amount': 525, 'percentage': 6.7}",6 חודשים
90+,"{'amount': 152, 'percentage': 12.2}","{'amount': 95, 'percentage': 7.6}",חודש אחרון
90+,"{'amount': 1674, 'percentage': 5.6}","{'amount': 1128, 'percentage': 3.7}",מתחילת קורונה
