age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,263,2255,0,85.1,865.9,0,0,1,0,0,0.4
16-19,48,905,1040,33.6,316.7,788.6,0,0,0,0,0,0
20-29,144,2471,1928,34.9,403.7,813.7,0,1,12,0,0.2,5.1
30-39,300,2387,1950,64.1,456.8,1148.7,1,0,25,0.2,0,14.7
40-49,337,1623,1382,59.9,423.8,1060,1,4,64,0.2,1,49.1
50-59,228,738,790,43.6,306.5,881.3,4,16,78,0.8,6.6,87
60-69,218,435,469,40.5,321.9,746.9,8,22,78,1.5,16.3,124.2
70-79,167,206,283,40.9,296.1,652.2,15,21,64,3.7,30.2,147.5
80-89,122,132,169,68.8,362.3,804,4,12,25,2.3,32.9,118.9
90+,39,27,52,107.9,215.1,639.5,0,2,13,0,15.9,159.9
