age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,328225,250592,635971,51.6,39.4,278,0
16-19,491360,425174,591331,83.1,71.9,112492,19
20-29,1063197,961868,1319364,80.6,72.9,379139,28.7
30-39,1026632,949205,1207243,85,78.6,429280,35.6
40-49,971595,907524,1110965,87.5,81.7,530978,47.8
50-59,776283,732427,874608,88.8,83.7,509898,58.3
60-69,682120,655282,747217,91.3,87.7,529399,70.8
70-79,473436,461823,526929,89.8,87.6,415113,78.8
80-89,214281,208411,238729,89.8,87.3,181278,75.9
90+,48709,46873,58687,83,79.9,38952,66.4
